st_061140_0001#0,"""A.P.242/2/17/14:00"""
st_061140_0010#0,"""Ульк, почему...?"""
st_061140_0020#0,"""Почему мы отсутпили?"""
st_061140_0030#0,"""Мы должны отомстить за Сяо."""
st_061140_0040#0,"""Я знала, что вы двое отреагируете так."""
st_061140_0050#0,"""У меня был выбор между Материнским кораблём... между Сяо и вами двумя... И я выбрала вас."""
st_061140_0060#0,"""И я твердо верна этому решению. Сяо сделал бы то же самое."""
st_061140_0070#0,"""Родственница Сяо. Сара, так? Ты видишь меня сейчас?"""
st_061140_0080#0,"""...кто?"""
st_061140_0090#0,"""Я - Алма. Первая Кларис Крейс."""
st_061140_0100#0,"""Я была рядом, когда ты пришла сюда раньше, но ты не смогла меня увидеть."""
st_061140_0110#0,"""...но теперь ты можешь. Ты знаешь почему?"""
st_061140_0120#0,"""...из-за силы Сяо?"""
st_061140_0130#0,"""Да.<br>Сила Сяо теперь с тобой.<br>Сяо спит внутри тебя."""
st_061140_0140#0,"""Его сила слишком велика для тебя.<br>Если он проснется, это уничтожит тебя<br>...потому он сейчас спит."""
st_061140_0150#0,"""Я... чувствую...<br>... Сяо внутри себя."""
st_061140_0160#0,"""Соберитесь все!"""
st_061140_0170#0,"""Сиерра, как ты думаешь, почему Сяо распространил свою власть?"""
st_061140_0180#0,"""Матои! <%me>!<br>Все было бы бессмысленно, если бы вы погибли там! Вы должны посмотреть на общую картину!"""
st_061140_0190#0,"""С-Сара?"""
st_061140_0200#0,"""... Это то, что Сяо сказал бы. Эти чувства вспыхнули внутри меня."""
st_061140_0210#0,"""И он определенно сказал бы это.<br>\""Не в моей природе оставаться мертвым.\"""""
st_061140_0220#0,"""...похоже на его слова."""
st_061140_0230#0,"""...Сяо всегда ненавидел проигрывать."""
st_061140_0240#0,"""Сиерра, ты можешь связаться со всеми другими кораблями? Известно ли нам общее состояние ARKS?"""
st_061140_0250#0,"""Ах, да!<br>Все корабли в настоящее время находятся в автономном режиме!"""
st_061140_0260#0,"""Это текущее состояние ARKS. Все корабли разбросаны, но мы подтвердили присутствие всех членов Совета."""
st_061140_0270#0,"""Операторы ARKS проверяют численность персонала прямо сейчас. У нас все должны быть на месте в течение часа."""
st_061140_0280#0,"""Сяо предвидел этот исход... Вот почему он понизил собственную ответственность, гарантируя, что ARKS будет функционировать без него."""
st_061140_0290#0,"""Но, это слишком плохо для тебя, Сяо. Мы пока не позволим тебе уйти в отставку."""
st_061140_0300#0,"""Сиерра, смени курс! Мы направляемся на планету Амдуския."""
st_061140_0310#0,"""Амдуския?"""
st_061140_0320#0,"""Последнее что сказал мне Сяо:<br>\""Направляйтесь в Амдускию.\"""""
st_061140_0330#0,"""Я знаю, мы найдем ключ там. Ключ к выходу из этой тупиковой ситуации."""
skit01#0,"""The Demise Brings Despair"""
skit02#0,"""Отчаяние, принесённое Богиней Конца"""
