un_061030_0001#0,"""A.P.242/2/23"""
un_061030_0010#0,"""...фух.<br>Наконец закончили."""
un_061030_0020#0,"""Независимый код операции ARKS...<br>Я никогда не думала, что он<br>когда-нибудь будет задействован."""
un_061030_0030#0,"""Прошу простить."""
un_061030_0040#0,"""Касра.<br>Вам что-то надо?"""
un_061030_0050#0,"""Меня ненавидят как обычно.<br>Но, это нормально."""
un_061030_0060#0,"""Совершенно верно.<br><%me><br>пожалуйста, выслушайте меня."""
un_061030_0070#0,"""Ситуация все еще довольно<br>непредсказуема, но всё в<br>некоторой степени устаканилось.<br>И по поводу отсчёта..."""
un_061030_0080#0,"""Во-первых, Материнский корабль<br>полностью по властью Сивы."""
un_061030_0090#0,"""Я пологаю, что о нём можно думать<br>как о \""Материнском корабле Сива\"".<br>Его текущее местоположение<br>не известно."""
un_061030_0100#0,"""Все корабли ARKS, на данный<br>момент, работают независимо.<br>Ты должна знать о мельчайших<br>деталях, Сиерра."""
un_061030_0110#0,"""Верно.<br>Мы начали с нуля, но<br>в большинстве случаев<br>всё было гладко."""
un_061030_0120#0,"""Потери после нашей последней<br>битвы составляют примерно 40%<br>от всех ARKS... Есть<br>также многочисленные жертвы."""
un_061030_0130#0,"""В настоящее время мы исследуем<br>врагов, которые сопровождали<br>Сиву."""
un_061030_0140#0,"""Эти странные машины...<br>Это были те фотонёры?"""
un_061030_0150#0,"""В настоящее время мы не знаем.<br>Тем не менее, мы можем сообщить,<br>что они не обладали чувством<br>собственного достоинства или<br>собственной волей."""
un_061030_0160#0,"""Так тогда они действительно<br>являются механическим оружием?<br>Ах, я только что<br>получила данные...<br>Т-так много!"""
un_061030_0170#0,"""Погодите, Касра!<br>Почему их так много...?"""
un_061030_0180#0,"""Мой устный доклад охватывал<br>только основные моменты.<br>Пожалуйста, просмотрите эти<br>данные для полного объема наших<br>добытых сведений."""
un_061030_0190#0,"""А теперь,<br>прошу меня простить."""
un_061030_0200#0,"""Почему он всегда оставляет<br>на меня весь этот беспорядок?<br>И, для начала,<br>нужно разабраться со всем."""
