st_061020_0001#0,"""A.P.242/2/11/10:30"""
st_061020_0010#0,"""Что ж, как нам следует продолжить работу, теперь, когда мы знаем все это?"""
st_061020_0020#0,"""Мы совершенно не понимаем их боевых способностей, но самая большая проблема - это Сива."""
st_061020_0030#0,"""Наша сила исходит из фотонов. Честно говоря, у нас нет возможности обойти их способность поглощать их."""
st_061020_0040#0,"""В связи с этим мы уже провели некоторые анализы и начали контрмеры. По общим вопросам, отчет."""
st_061020_0050#0,"""Хм? Вы что-нибудь выяснили?"""
st_061020_0060#0,"""Если Фотоны не сработают, мы поразим их физическим оружием."""
st_061020_0070#0,"""Мы находимся в финальной стадии корректировки наших A.I.S.. Серийное производство также должно скоро начаться."""
st_061020_0080#0,"""Исследовательский отдел делает все возможное, чтобы подготовить их к следующему сражению."""
st_061020_0090#0,"""Таким образом, следующий вопрос - передвижения врага..."""
st_061020_0100#0,"""К сожалению, у нас нет точных данных. Даже координация наших исследований с Сяо не приблизила нас к возможности установить их местонахождение."""
st_061020_0110#0,"""Я считаю, что это сугубо из-за нашего разрыва в технологических возможностях. Скрытие и изоляция фотонов были одной из их особенностей."""
st_061020_0120#0,"""А это значит, что будет сложно предсказать, когда они появятся... Нам придется постоянно быть начеку."""
st_061020_0130#0,"""Мм. Секторы обучения и борьбы будут работать вместе, чтобы усилить нашу готовность к мобилизации."""
st_061020_0140#0,"""Сейчас намного больше ARKS, чем раньше. Мы должны быть в состоянии удвоить наши обязанности."""
st_061020_0150#0,"""Таким образом, все ARKS будут объединены в своих движениях."""
st_061020_0160#0,"""Знаете... Есть кое-что, что меня беспокоит."""
st_061020_0170#0,"""Сива назвала <%me> сосудом мира."""
st_061020_0180#0,"""Что именно это означает?"""
st_061020_0190#0,"""Извините, но даже я не знаю значения этих слов."""
st_061020_0200#0,"""Тем не менее, она нацелена на Защитника по той или иной причине. Я верю, что мы можем сказать это с уверенностью."""
st_061020_0210#0,"""... Мы не знаем её причину, но мы не можем просто проигнорировать это."""
st_061020_0220#0,"""<%me>. Ты будешь дислоцирован с Матои на некоторое время. Пока вы вдвоём вместе, вы будете в безопасности."""
st_061020_0230#0,"""Каждый отдел теперь более тесно связан друг с другом, чем когда-либо. И нам нужно будет ускорить процесс принятия решений. Мы будем в порядке, пока все работают вместе."""
st_061020_0240#0,"""А, <%me>。Не мог бы ты немного подождать?"""
st_061020_0250#0,"""Речь идет об реконструированных A.I.S., о которых мы упоминали ранее. Ответственная за проект сказала, что хочет встретиться с тобой."""
st_061020_0260#0,"""Извини, что прошу тебя, но не мог бы ты найти время, чтобы встретиться с ней? Я рассчитываю на тебя."""
