st_061120_0001#0,"""A.P.242/2/17/12:00"""
st_061120_0010#0,"""... Говоря об этом, почему Риса видит движения врага?"""
st_061120_0020#0,"""Хихихихихи.<br>Риса видит их своими глазами."""
st_061120_0030#0,"""?"""
st_061120_0040#0,"""Все в ARKS слишком зависят от фотонов. Пологаются больше, чем на свои собственные глаза."""
st_061120_0050#0,"""Даже если не видно цель, разве нельзя положиться на радар и атаковать? Можно же."""
st_061120_0060#0,"""Все чувствовали фотоны, и думали, что видят собственными глазами, потому видели движения."""
st_061120_0070#0,"""Только вот теперь, вражеские фотоны не видны."""
st_061120_0080#0,"""И наоборот, они могут видеть наши фотоны. Конечно же вы не можете поспевать за их движениями."""
st_061120_0090#0,"""Другими словами, вы ничего не можете с ними поделать."""
st_061120_0100#0,"""Тогда мы никогда не сможем бороться с ними нормально?.."""
st_061120_0110#0,"""Если вы обнаружите некую технологию, превосходящую вражескую, разве вы не сможете сражаться как обычно."""
st_061120_0120#0,"""Кроме того, есть люди в ARKS, кроме Рисы, которые могут сражаться, не полагаясь на фотоны."""
st_061120_0130#0,"""Это..."""
st_061120_0140#0,"""... пришла таки."""
st_061120_0150#0,"""Барышня, ты одна?"""
st_061120_0160#0,"""Встретилась со мной и без фотонов? Похоже ты меня недооцениваешь."""
st_061120_0170#0,"""Кто кого ещё недооценивает."""
st_061120_0180#0,"""...?<br>Может ли быть..."""
st_061120_0190#0,"""Ты не используешь фотоны?"""
st_061120_0200#0,"""Ещё как!<br>У меня нет фотонов!<br>Я не полагаюсь на ощущения или что-то ещё!"""
st_061120_0210#0,"""Ваша способность поглощать фотоны против меня бесполезна!"""
st_061120_0220#0,"""...!"""
st_061120_0230#0,"""Кто знал, что это проклятие пригодится в конце концов?.."""
st_061120_0240#0,"""Я никогда его не прощу... Но Лютер, конечно, иногда может быть полезен!"""
st_061120_0250#0,"""Получай!"""
st_061120_0260#0,"""Аах?!"""
st_061120_0270#0,"""...Хахаха, хахахахаха."""
st_061120_0280#0,"""Барышня.<br>Что ты сказала сейчас?"""
st_061120_0290#0,"""Если я не ошибаюсь, то ты произнесла очень интересное имя."""
st_061120_0300#0,"""Что это...<br>Это очень плохо..."""
