st_061080_0001#0,"""A.P.242/2/17/10:10"""
st_061080_0010#0,"""Мы переместились немного дальше<br>от наших целевых координат.<br>В конце концов, переместиться<br>прямо к центру было слишком<br>алчно."""
st_061080_0020#0,"""Даже так, мы можем развлечься<br>по пути."""
st_061080_0030#0,"""Не с места!"""
st_061080_0040#0,"""Мы не позволим вам уничтожить<br>что-либо еще!"""
st_061080_0050#0,"""...Они прибыли раньше, чем мы<br>ожидали. Возможно, ты<br>предсказала, что это произойдет,<br>моя нижная копия?"""
st_061080_0060#0,"""...Мы проделали такой путь.<br>Почему бы нам не уничтожить ARKS<br>целиком и полностью?"""
st_061080_0070#0,"""Варуна."""
st_061080_0080#0,"""Да."""
st_061080_0090#0,"""Митора."""
st_061080_0100#0,"""Да."""
st_061080_0110#0,"""Давайте устроим соревнование,<br>чтобы узнать, кто избавится<br>от большего мусора."""
st_061080_0120#0,"""Вы можете использовать любые<br>средства. Просто убедитесь, что<br>ведёте правильный подсчет. В<br>конце концов, это соревнование,<br>и оно должно быть честным."""
st_061080_0130#0,"""Хе-хе, как усердно с их стороны.<br>Я продолжу свой собственный<br>досуг."""
st_061080_0140#0,"""Ты видишь это, моя копия?<br>Ты должна знать, что последует<br>за этим."""
st_061080_0150#0,"""Передайте моё послание ARKS:<br>\""Желаю вам удачи.\"""""
name01#0,"""Основной ARKS"""
name02#0,"""Младший ARKS"""
