un_061040_0001#0,"""A.P.242/2/13"""
un_061040_0010#0,"""<%me>!<br>Помнишь странного ARKS, который<br>напал на тебя из ниоткуда?.."""
un_061040_0020#0,"""<%me>, извини!"""
un_061040_0030#0,"""Слыхал новость?<br>Был зарегестрирован новый класс!"""
un_061040_0040#0,"""Имя ему<br>\""Фантом\"""""
un_061040_0050#0,"""И угадай, что еще?!<br>Наставник Фантомов - один<br>из моих друзей!"""
un_061040_0060#0,"""Стратос.<br>Герой не должен говорить о<br>Фантомах! Это не прилично."""
un_061040_0070#0,"""Мм. Ты тоже здесь, Защитник."""
un_061040_0080#0,"""А?<br><%me>, вы знакомы?"""
un_061040_0090#0,"""Мы не так близки.<br>Но это напомнило мне, что<br>я еще не представился.<br>Меня зовут..."""
un_061040_0100#0,"""\""Чёрный Волк\"" - Кьёкуя.<br>Я - представитель класса Фантом.<br>Хорошо бы тебе это запомнить."""
un_061040_0110#0,"""Приятно познакомиться, Кьёкуя"""
un_061040_0120#0,"""Почему \""Чёрный Волк\""?"""
un_061040_0130#0,"""Ты забыл \""Чёрный Волк\""...<br>Выгравируй это глубоко<br>в своей груди."""
un_061040_0140#0,"""Ооо... заинтересовало?<br>Однако час еще не настал...<br>Придет день и ты узнаешь."""
un_061040_0150#0,"""Ах, да. Расскажи нам о Фантоме,<br>Кьё."""
un_061040_0160#0,"""Меня зовут \""Кьёкуя\""!<br>Не называй меня этим<br>отвратительным прозвищем."""
un_061040_0170#0,"""Эээ, почему?<br>Я зову тебе так с детства.<br>Кроме того, это ты..."""
un_061040_0180#0,"""...Молчи.<br>Я не собираюсь вступать в сговор<br>с \""Героями\"" которые ослепляют<br>себя правдой."""
un_061040_0190#0,"""Что ты сказал?<br>Герои защищают надежды и мир<br>каждого."""
un_061040_0200#0,"""...Как глупо.<br>Ты до сих пор не поняла...<br>что ваша справедливость<br>бессмысленна?"""
un_061040_0210#0,"""Фантомы видят реальность.<br>Их цели достигаются независимо<br>от таких тривиальных понятий...<br>как справедливость и зло."""
un_061040_0220#0,"""Ох... ты такой подлый, Кьё.<br>Ты был таким милым ребенком..."""
un_061040_0230#0,"""Кх... Хорошо!<br>Вы спрашивали о Фантоме.<br>Хорошо, объясню вам."""
un_061040_0240#0,"""Чтобы преуспеть как Фантом,<br>нужно действовать так, как<br>если бы ты был \""тенью\"".<br>Первостепенное значение имеет<br>понятие \""уклонение\""."""
un_061040_0250#0,"""Освоивший этот навык, становится<br>способным избегать входящих атак<br>и наносить ответные удары<br>сильными контратаками."""
un_061040_0260#0,"""Кроме того, ФА Фантома обладают<br>скрытой силой...<br>Они должны использоваться в<br>соответстветствии с ситуацией."""
un_061040_0270#0,"""Также не стоит забывать о \""подрыве\"".<br>Истинная сила Фантома...<br>проявляет себя, когда борется<br>с страдающими от подрыва. """
un_061040_0280#0,"""Подобно тени, ты можешь<br>использовать приёмы спереди<br>и со спины, чтобы напугать<br>врага подрывом..."""
un_061040_0290#0,"""Почти как \""призрак\""...<br>таков стиль боя Фантома."""
un_061040_0300#0,"""Плюет перед лицом справедливости.<br>Сражение с сильным врагом<br>в славной битве - его<br>единственный путь!"""
un_061040_0310#0,"""...Защитник.<br>Ты разделяешь чувства Стратос?<br>Справедливость - единственный<br>ли это идеал, за который<br>стоит держаться?.."""
un_061040_0320#0,"""Справедливость абсолютна"""
un_061040_0330#0,"""Не обязательно абсолютна"""
un_061040_0340#0,"""Хммм, понятно...<br>Я думал, ты способен понять,<br>но, кажется, я переоценил тебя."""
un_061040_0350#0,"""Ооо...<br>Я был уверен, что ты бы<br>посочувствовал Стратос, но,<br>похоже, ты способен делать свои<br>собственные выводы."""
un_061040_0360#0,"""...Покажи мне, готов ли ты<br>отказаться от справедливости и<br>стать духом в собственных<br>действиях."""
un_061040_0370#0,"""... Прощайте."""
un_061040_0380#0,"""Кьё!<br>Это было так грубо...<br>Убегают только трусы!"""
un_061040_0390#0,"""<%me>...<br>Прошу прощения за Кьё..."""
un_061040_0400#0,"""Мы, на самом деле,<br>друзья детства...<br>Тогда, в троём, мы были<br>хорошими друзьями...<br>но произошёл один инцидент."""
un_061040_0410#0,"""Из-за этого инцидента я...<br>я закрыла свое сердце.<br>Я была безутешна и, даже,<br>не говорила."""
un_061040_0420#0,"""Кьё старался<br>всячески подбодрить меня...<br>Но ничего не получалось."""
un_061040_0430#0,"""Я думаю,<br>что он устал от меня.<br>С тех пор он так холоден...<br>Должно быть, ненавидит меня."""
un_061040_0440#0,"""Но, он действительно<br>не плохой человек!<br>Он может вести себя лучше...<br>у него действительно<br>доброе сердце!"""
un_061040_0450#0,"""Так что...<br>пожалуйста, не думай о нём<br>плохо! Прошу простить!"""
un_061040_0460#0,"""<%me>.<br>Мой отчет был прерван,<br>но я думаю, что ты понимаешь<br>нынешнюю ситуацию."""
un_061040_0470#0,"""Представитель нового класса<br>\""Фантом \""...<br>Мы можем предположить,<br>что Кьёкуя напал на тебя ранее,<br>чтобы, вероятнее всего,<br>измерить твою силу..."""
un_061040_0480#0,"""<%me>,<br>ты всегда вносишь свой вклад<br>в развитие новых классов,<br>поэтому, должно быть,<br>ты попался ему на глаза."""
un_061040_0490#0,"""Тем не менее,<br>если он и Стратос - друзья...<br>То это делает их соперниками."""
name01#0,"""？？？"""
