st_061030_0010#0,"""……<%me>.<br>Я слышал, что ты можешь видеть<br>Алму."""
st_061030_0020#0,"""Я также слышал,<br>что ты помог ей...<br>Я хотел бы выразить свою<br>глубокую благодарность."""
st_061030_0030#0,"""Я из неквалифицированных,<br>поэтому я не могу видеть её<br>своими глазами...<br>Но я могу сказать."""
st_061030_0040#0,"""Она была спасена благодаря тебе.<br>Поэтому, благодарю тебя."""
st_061030_0050#0,"""И тебе спасибо"""
st_061030_0060#0,"""Ты защитил её"""
st_061030_0070#0,"""...Хаха.<br>Не превращайте это в бесконечный<br>обмен благодарностью."""
st_061030_0080#0,"""...Это верно.<br>Я смог защитить её в этот раз."""
st_061030_0090#0,"""Хоть времена Алмы прошли,<br>её желания стали основной для<br>ARKS."""
st_061030_0100#0,"""Вот почему я должен продолжать<br>защищать её. Место, что ей<br>и всем нам принадлежит. До того<br>дня, когда она сможет покоиться<br>с миром."""
st_061030_0110#0,"""...Мария и я не можем её видеть.<br>Мы не можем слышать её слова,<br>поэтому мы должны положиться<br>на тебя."""
st_061030_0120#0,"""...Пожалуйста,<br>делай всё что сможешь для неё.<br>Окажи ей свою помощь, если она<br>когда-нибудь понадобится."""
