st_061130_0110#0,"""Прив.<br>Ты в порядке, Сара?"""
st_061130_0120#0,"""Сяо...?"""
st_061130_0130#0,"""... Я удивлена. Однако это сэкономило мне время."""
st_061130_0140#0,"""<%me>!"""
st_061130_0150#0,"""Сара! Сяо!<br>...Ах！"""
st_061130_0160#0,"""...Сяо!!<br>Что ты творишь!"""
st_061130_0170#0,"""Ну, хахаха...<br>Это ответ, к которому я пришел. У меня было то, что мне нужно было защитить."""
st_061130_0180#0,"""...дурак!<br>Почему ты меня прикрываешь?!.."""
st_061130_0190#0,"""Я знаю, что это не разумное решение.<br>Но, моё тело начало двигаться раньше, чем я успел подумать..."""
st_061130_0200#0,"""Я был слишком близко к людям...<br>...Так что я дам себе немного отдохнуть, как люди."""
st_061130_0210#0,"""Сяо!<br>Сяо!"""
st_061130_0220#0,"""Ах!<br>Сяо!"""
