un_061020_0001#0,"""A.P.242/2/12"""
un_061020_0010#0,"""<%me>!<br>Сзади!"""
un_061020_0020#0,"""... медленно."""
un_061020_0030#0,"""Эта сила и ловкость... Ты и вправду - Защитник."""
un_061020_0040#0,"""Тебя я...и их..."""
un_061020_0050#0,"""П-почему ARKS напал на тебя?! Я запрошу поддержку!"""
un_061020_0060#0,"""...У тебя, конечно же, есть сила. Судьба уже завладела тобой."""
un_061020_0070#0,"""Тем не менее, твоя сила... Лишь только... приведет к отчаянию."""
un_061020_0080#0,"""Если ты когда-нибудь поддашься этому отчаянию... Я не прощу тебя."""
un_061020_0090#0,"""Выгравируй это глубоко в своей груди... Прощай."""
un_061020_0100#0,"""Сигнал пропал. Преследование невозможно."""
un_061020_0110#0,"""Я не видела никаких сигналов, пока он не напал. Ты заметил какое-нибудь присутствие?"""
un_061020_0120#0,"""Они скрывали себя?.. В любом случае, я рада, что ты в порядке."""
un_061020_0130#0,"""Тем не менее, его стиль боя... Он не подпадает ни под один из лицензированных в настоящее время классов."""
un_061020_0140#0,"""Что же это...?"""
