un_061130_0010#0,"""Те машины, с которыми мы<br>сражались на Материнском<br>корабле, были ужасно сильны."""
un_061130_0020#0,"""Сива привел их с собой.<br>В настоящее время мы их<br>анализируем, но плохо их<br>понимаем."""
un_061130_0030#0,"""Плохо понимаете?"""
un_061130_0040#0,"""Да. Они не показывают никаких<br>признаков жизни, поэтому мы<br>думаем, что это автономные<br>машины."""
un_061130_0050#0,"""Тем не менее, их структура<br>и состав не похожи ни на какие<br>технологии, которыми мы обладаем<br>в ARKS."""
un_061130_0060#0,"""Эти таинственные механические<br>оружия... ARKS назвал их<br>\""Люминмехи\""."""
un_061130_0070#0,"""Их мобильность, броня и<br>разрушительные способности...<br>каждый параметр невероятно<br>высок. Если они могут сделать<br>такое оружие..."""
un_061130_0080#0,"""Это машины, построенные по<br>технологии фотонёров."""
un_061130_0090#0,"""Они построенные<br>по технологии фотонёров...<br>И даже ARKS не может понять их."""
un_061130_0100#0,"""Верно.<br>Современные технологические<br>возможности ARKS им не помеха."""
un_061130_0110#0,"""Это оружие,<br>созданное с использованием<br>новейших технологий для борьбы<br>с [Глубинной Тьмой]..."""
un_061130_0120#0,"""Похоже что Сива поглотила её<br>в момент запечатывания и<br>искажения."""
un_061130_0130#0,"""Искажена и тем самым<br>была усилена фактором<br>[Глубинной Тьмы]..."""
un_061130_0140#0,"""Это сделало их невероятно<br>сильными, и сделало Сиву ещё<br>сильнее...<br>Как мы можем бороться с ними?"""
un_061130_0150#0,"""Мы всё ещё можем победить"""
un_061130_0160#0,"""У них должны быть слабости"""
un_061130_0170#0,"""Да уж. Их броня толстая, но,<br>кажется, они получают много<br>урона в этих светящихся красных<br>областях."""
un_061130_0180#0,"""Слабые точки...<br>Кстати, светящиеся красные<br>области, похоже, получают<br>много урона."""
un_061130_0190#0,"""Вполне вероятно, что<br>для того, чтобы нанести урон,<br>части их брони необходимо<br>уничтожить."""
un_061130_0200#0,"""Однако и враг об этом знает.<br>Они будут атаковать, защищая<br>свои слабые места."""
un_061130_0210#0,"""Но если мы сможем открыть<br>эти точки, мы можем<br>повредить их."""
un_061130_0220#0,"""Если мы хотя бы знаем,<br>как победить их, то сражаться<br>с ними будет не так уж сложно."""
