msc_013025_0010#0,"""Thanks for coming, everyone."""
msc_013025_0020#0,"""How's the Central Cannon?"""
msc_013025_0030#0,"""Well, during our last battle, we confirmed that the Central Canon is indeed effective against Dark Falz."""
msc_013025_0040#0,"""However, the barrel of the Cannon sustained damage from firing just once. Repairs are underway, but we must consider a more sustainable approach."""
msc_013025_0050#0,"""We had a fierce encounter with Dark Falz a few days ago."""
msc_013025_0060#0,"""Amidst the panic, we somehow managed to drive them back with the Central Cannon."""
msc_013025_0070#0,"""However, the barrel of the Cannon sustained damage from firing just once. Repairs are underway, but we must consider a more sustainable approach."""
msc_013025_0080#0,"""Particularly regarding the firing mechanism and the barrel."""
msc_013025_0090#0,"""The accelerator and barrel simply can't withstand firing that much condensed Photon energy all at once."""
msc_013025_0100#0,"""So, I sought help from a friend who's also a researcher. I heard he had obtained some valuable information, but..."""
msc_013025_0110#0,"""Did something happen?"""
msc_013025_0120#0,"""That's the thing. He hasn't contacted me for several days..."""
msc_013025_0130#0,"""What?"""
msc_013025_0140#0,"""When I contacted his sister, she informed me that he's gone missing."""
msc_013025_0150#0,"""Oh no..."""
msc_013025_0160#0,"""So the objective of this mission will be to find this friend of mine. Can I count on you for this?"""
msc_013025_0170#0,"""You sure can."""
msc_013025_0180#0,"""He currently lives in the \""Kvaris Region\"", so that's where I'd like you to start."""
msc_013025_0190#0,"""Many people know of it, but Kvaris is a region that's been largely abandoned for a number of decades."""
msc_013025_0200#0,"""In fact, it used to be where Central City's previous metropolis was located. Alas..."""
msc_013025_0210#0,"""It's said that they had no choice but to abandon it during a battle with the DOLLS."""
msc_013025_0220#0,"""My friend's name is Irma. He's young, brilliant researcher. We'll need his help in order to perfect the Central Canon."""
msc_013025_0230#0,"""And... as his friend, I worry for him. Please see that he is safe."""
