name_7661#0,"""Башиния"""
ssn_013010_0001#0,"""Приветствую тебя. Добро пожаловать<br>в Централ-Сити."""
ssn_013010_0002#0,"""Ты всё ещё только учишься? Это может быть сложно,<br>но, пожалуйста, приложи все усилия."""
ssn_013010_0101#0,"""Ты знаешь о “Башнях”?<br>...А, ну речь не о Центральной Башне."""
ssn_013010_0102#0,"""Если не знаешь, то я тебе расскажу."""
ssn_013010_0201#0,"""Если хочешь знать, подойди ко мне позже."""
ssn_013010_0103#0,"""Вроде Боевой Мощи хватит. В таком состоянии, думаю,<br>ты сможешь бросить вызов башням когда захочешь."""
ssn_013010_0104#0,"""В случае опасности заняться улучшением своей Боевой Мощи,<br>думаю, это хорошая идея. Что ж, продолжай стараться."""
ssn_013010_0151#0,"""Как Башни, так и Коконы называются Торениа... <br>то есть - тренировочными центрами."""
ssn_013010_0152#0,"""Текстурой они похожи на Коконы, но выглядят иначе,<br>так что, думаю, их легко различать."""
ssn_013010_0153#0,"""Однако, внутренняя часть Башен больше, чем у Коконов, и их<br>тяжело покорить. Так что, лучше бросить вызов после того,<br>как ты удостоверишься в достатке Боевой Мощи."""
ssn_013010_0154#0,"""Что ж, постарайся."""
ssn_013010_0301#0,"""Башни имеют более высокий эффект тренировки, чем Коконы,<br>так что, если найдёте их, попробуйте себя."""
ssn_013010_0302#0,"""В то же время, не забывай предварительно улучшать<br>свою Боевую Мощь перед началом."""
ssn_013010_0303#0,"""О, кстати. По части Боевой Мощи..."""
ssn_013010_0304#0,"""Если у тебя не достаточно Боевой Мощи, ты не сможешь<br>принять участие в некоторых экстренных операциях."""
ssn_013010_0305#0,"""В случае опасности заняться улучшением своей Боевой Мощи,<br>думаю, это хорошая идея. Что ж, продолжай стараться."""
