Title#0,"""빗바람과 함께 2019"""
Explanation#0,"""행성 나베리우스 삼림 에어리어에서<br>강력한 에너미 반응이 다수 확인됐다.<br>현지에서 급격한 기상 변화가 발생한다는<br>보고도 있어 관련성이 의심된다.<br>즉시 현지로 향해 이를 조사하며<br>가능한 한 많은 에너미를 격퇴하라.<br>―――――――――――――――――――<br>룸 내 퀘스트 포인트 공유/있음<br>제한 시간 경과 시 퀘스트 종료"""
NpcComMsg1#0,"""지금부터 전송을 시작합니다.<br>현재 전송 지역에서 강력한 에너미의<br>반응이 다수 확인되고 있습니다."""
NpcComMsg2#0,"""급격한 기상 변화도 발생하고 있어<br>두 현상의 관련성을 조사하는 것이<br>이번 목적입니다."""
NpcComMsg3#0,"""현재 전송 지역은 맑지만<br>앞서 말씀드린 대로 날씨 변화가 예상됩니다.<br>충분히 주의해 임무를 수행해 주세요."""
SimpleExplanation#0,"""시간 안에 최대한 많은 에너미를 격퇴하라!"""
a1#0,"""특정 클라이언트 오더 클리어"""
a2#0,"""특정 클라이언트 오더 클리어"""
a3#0,"""슈퍼 하드 수주 허가증 소지"""
a4#0,"""슈퍼 하드 수주 허가증 소지"""
a5#0,"""슈퍼 하드 수주 허가증 소지"""
Area0S#0,"""삼림 에어리어 1"""
Area0L#0,"""행성 나베리우스 삼림 에어리어 1"""
Area1S#0,"""삼림 에어리어 2"""
Area1L#0,"""행성 나베리우스 삼림 에어리어 2"""
