a1#0,"""Complete a certain Client Order."""
a2#0,"""Complete a certain Client Order."""
a3#0,"""Possess a Super Hard License."""
a4#0,"""Possess a Super Hard License."""
a5#0,"""Possess a Super Hard License."""
Title#0,"""T:In the Driving Rain 2019"""
Explanation#0,"""A number of strong enemy readings<br>have been detected in the Forest<br>area of Planet Naberius.<br>We suspect this may have something<br>to do with the rapid weather changes<br>recently reported in that area.<br>Investigate as soon as possible, and<br>defeat as many enemies as you can.<br>―――――――――――――――――――<br>Quest Points are shared amongst the room.<br>Quest ends when time limit expires."""
NpcComMsg1#0,"""Now beginning the transfer.<br>At present, we are detecting several powerful enemy readings in the destination area."""
NpcComMsg2#0,"""Rapid changes in the weather have also been observed.<br>Our goal is to investigate whether the two incidents are connected."""
NpcComMsg3#0,"""Currently, the transfer destination's weather is normal, but it may change at a moment's notice.<br>Proceed with caution."""
SimpleExplanation#0,"""Defeat as many enemies as possible!"""
Area0S#0,"""Forest - Area 1"""
Area0L#0,"""Planet Naberius: Forest - Area 1"""
Area1S#0,"""Forest - Area 2"""
Area1L#0,"""Planet Naberius: Forest - Area 2"""
