un_020540_0010#0,"""응…?<br>아아, 너도 아크스구나."""
un_020540_0020#0,"""나? 나도 아크스야.<br>이오라고 해.<br>잘 부탁해, 선배."""
un_020540_0030#0,"""왜 그렇게 놀라?<br>네가 바로 선배라는 뜻이야.<br>…뭐야, 그렇게 불려 본 적 없어?"""
un_020540_0040#0,"""나는 아크스가 된 지<br>얼마 안 됐으니까.<br>그럼 당연히 네가 선배지?"""
un_020540_0050#0,"""뭐야, 이게 신경 쓰여서?<br>신기한 것도 아니잖아, 이거."""
un_020540_0055#0,"""선배도 똑같잖아."""
un_020540_0060#0,"""역시 듀먼은 이게<br>제일 큰 특징이니까.<br>눈동자도 색이 달라, 봐."""
un_020540_0070#0,"""피부 문양은…<br>아무래도 여기서 보여주는 건 좀 그렇지?"""
un_020540_0080#0,"""뭐가, 하는 표정 짓지 마.<br>노출을 좋아하는 애들도 있단 건<br>알지만, 나는 아니야."""
un_020540_0090#0,"""봐 봐, 이게 두 개 있지?<br>…그걸로 알아봐 줘."""
un_020540_0100#0,"""그럼 또 봐, 선배."""
