un_020410_0010#0,"""……あ、ああ、相棒か。<br>どうしたよ、急に現れて。"""
un_020410_0020#0,"""って、おれが気付かなかっただけ？<br>悪い、ちょっと考え事しててさ。"""
un_020410_0030#0,"""……忘れられないんだよ。<br>あの、この前会ったあいつの顔が。"""
un_020410_0032#0,"""誰って、あいつだよ。戦技大会の時に<br>見た……って、あれ？\u3000あの時おれ<br>相棒と一緒じゃなかったか……？"""
un_020410_0034#0,"""……悪い。なんか相棒とはいつも<br>一緒にいるような気がして<br>勘違いしてた、みたいだな。"""
un_020410_0036#0,"""戦技大会終わった後に……<br>ヘンなダークファルスを見かけて、さ。<br>そいつの顔が、忘れられないんだ。"""
un_020410_0040#0,"""似てるだけだ……似てるだけって<br>そう言い聞かせてるんだけど……<br>ぜんぜん、ダメだ。"""
un_020410_0050#0,"""どこかで会えればいいなって<br>あてもない希望をもって<br>ふらふらしてるんだよ。"""
un_020410_0060#0,"""おかしな話だよな。<br>ダークファルスって言えば<br>一番出会いたくない相手だろ？"""
un_020410_0070#0,"""でも、今やそいつの影を探して<br>あっちこっち行き来してんだぜ？"""
un_020410_0080#0,"""……でも、ダメだな。<br>今は会えそうな気がしない。"""
un_020410_0090#0,"""……おれって間が悪いからさ。<br>会いたい時に会えなくて<br>会いたくない時に会っちゃうんだよ。"""
