name_7006#0,"""Ran."""
msn_011080_002_0020#0,"""Cuando te dirijas al Monte Magnus, he pensado en darte algunos consejos de batalla"""
msn_011080_002_0030#0,"""Todos los miembros de ARKS miden sus habilidades usando un valor conocido como \""Nivel de Poder\""."""
msn_011080_002_0040#0,"""Es una forma de medir y cuantificar tu habilidad física, tu armadura y tu arma actualmente equipada."""
msn_011080_002_0050#0,"""Ten en cuenta que no es una medida de la habilidad de uno, y por lo tanto es sólo una breve aproximación."""
msn_011080_002_0060#0,"""Como Halpha puede ser un lugar muy peligroso, el Nivel de Poder es principalmente una rúbrica para evitar que los ARKS se aventuren en áreas para las que no están equipados."""
msn_011080_002_0070#0,"""El Monte Magnus es una de esas zonas"""
msn_011080_002_0080#0,"""Se mostrará el nivel de potencia aproximado de la zona, así que consulta ese valor mientras te preparas para la batalla."""
msn_011080_002_0090#0,"""Te vigilaremos muy de cerca, ya que te deseamos la mejor de las suertes."""
msn_011080_002_0101#0,"""¡Bienvenidos a Ciudad Central! Es un placer conocerte"""
msn_011080_002_0102#0,"""Tengo el privilegio de apoyarte como uno de los Operadores de la ciudad."""
msn_011080_002_0201#0,"""Si hay algo que pueda hacer por ti como Operador, simplemente dilo"""
msn_011080_002_0202#0,"""Espero poder hacer la vida más fácil a todos en la medida de mis posibilidades."""
