Begin#0,"""開始5150"""
Success#0,"""成功5150"""
Failure#0,"""失敗5150"""
Dead#0,"""自分死亡5150"""
BuddyDead#0,"""相手死亡5150"""
Evolution#0,"""発展5150"""
Begin#1,"""/ci1 1 오우, 딱 좋은 순간에!<br>미안하지만 도와주지 않겠어!"""
Success#1,"""/ci2 1 웃샤! 해냈군!<br>고마워!"""
Failure#1,"""기합이 헛돌아버렸는가…"""
Dead#1,"""제길…!<br>창피스런 꼴을 보여버렸군…！"""
BuddyDead#1,"""무리하지 마, 실바!<br>잠깐 거기서 쉬고 있어!"""
Begin#2,"""/toge /ci1 4 오, 좋은 순간에!<br>잠깐만 도와줬으면 해!<br>우리들 뿐으로는 어려워서 말야!"""
Success#2,"""/toge /ci2 4 해냈군, 역시나잖아!<br>도움을 부탁한게 정답이었군!"""
Failure#2,"""/mn13 제길! 무슨 꼴이야…!<br>어쩔 수 없지, 재정비 하자!"""
Dead#2,"""/mn7 제길 당해버렸군!<br>미안… 뒤는 부탁하겠어…"""
BuddyDead#2,"""실바, 무리는 하지 마!<br>여기는 우리들이 어떻게든 해줄테니까!"""
Begin#3,"""/ci2 2 아무렴!<br>이벤트의 방해를 하는<br>괘씸한 놈들은 우리들이<br>날려버리자구!"""
Success#3,"""/ci2 2 이벤트는 젊은 놈들에게 맡기고<br>우리는 방해꾼을 쓰러뜨려 나가자고!"""
Failure#3,"""/ci3 2 미안…<br>실수해버렸구만…"""
Dead#3,"""/mn5 큭, 당해버렸군!<br>미안…<br>조금 쉬도록 할 게…"""
BuddyDead#3,"""/mn18 뭐라고…!<br>잘도 저질러줬겠다!<br>한번에 쓸어주마!"""
