name010#0,"""Ral."""
text010#0,"""Hmmm, tienes buena puntería. Entonces, ¿puedes hacer un step attack?"""
text020#0,"""Intenta evadir y atacar."""
Text_Lock#0,"""Fijar objetivo:"""
Button_Lock#0,"""<%LockOn>"""
Text_Avoid#0,"""Evasión:"""
Button_Avoid_Pad#0,"""<%Avoid>"""
Button_Avoid_Key#0,"""Pulse 2 veces la tecla Mover."""
Text_StepAttack#0,"""Step attack;"""
Button_StepAttack_Pad#0,"""<%Avoid><pict 4space>seguido de<pict 4space><%NormalAttack>"""
Button_StepAttack_Key#0,"""Tecla de movimiento."""
Button_StepAttack_Key2#0,"""Tras pulsar 2 veces.<pict 4space><%NormalAttack>"""
