name01#0,"""아스타르테"""
11_voice_NPC_5098_208#0,"""축하합니다!<br><c ff4f3f>미션 달성<c>입니다."""
11_voice_NPC_5098_209#0,"""<c ff4f3f>미션을 달성<c>하면<br><c ff4f3f>보상<c>을 받을 수 있습니다."""
11_voice_NPC_5098_210#0,"""“<c ff4f3f>퀘스트<c>”의<br>“<c ff4f3f>아크스 미션<c>”을 선택해<br><c ff4f3f>보상<c>을 받아 주세요."""
11_voice_NPC_5098_211#0,"""<c ff4f3f>보상<c>을 받으셨군요!<br>이상이 <c ff4f3f>미션<c> 진행 방법입니다."""
11_voice_NPC_5098_212#0,"""게임 진행에 따라 늘어나는 <c ff4f3f>메인 미션<c>과<br>매일, 매주 바뀌는 <c ff4f3f>데일리 미션<c>,<br><c ff4f3f>위클리 미션<c>이 있습니다."""
11_voice_NPC_5098_213#0,"""다양한 <c ff4f3f>보상<c>을 받을 수 있으니<br>새로운 <c ff4f3f>미션<c>에<br>계속 도전해 보세요."""
11_voice_NPC_5098_214#0,"""그럼 앞으로도<br>활약을 기원하겠습니다!"""
text100#0,"""<%Decide>로 <yellow>아크스 미션<c>을 선택해 주세요."""
text110#0,"""<%Decide>로 <yellow>보상을 받아 주세요.<c>"""
text120#0,"""<%Cancel>로 아크스 미션을 <yellow>닫아 주세요.<c>"""
text130#0,"""<%Cancel>로 메인 메뉴를 <yellow>닫아 주세요.<c>"""
text140#0,"""데일리 미션과 위클리 미션이 개방되었습니다."""
text150#0,"""다양한 퀘스트를 플레이할 수 있게 되었습니다!"""
MovieTitle#0,"""PSO2에 오신 것을 환영합니다!"""
