name01#0,"""아스타르테"""
11_voice_NPC_5098_200#0,"""처음 뵙겠습니다!<br>아크스 기초 교육 담당관<br>아스타르테입니다."""
11_voice_NPC_5098_201#0,"""지금부터 실전형 교육 프로그램<br>“<c ff4f3f>아크스 미션<c>”을<br>설명해 드리겠습니다."""
11_voice_NPC_5098_202#0,"""주어진 과제를 차례로 달성하기만 해도<br>자연스럽게 아크스의 기본을 익히게 됩니다……<br>그것이 “<c ff4f3f>아크스 미션<c>”입니다."""
11_voice_NPC_5098_203#0,"""아무튼 직접 확인해 보죠.<br>이번에는 자동으로<br><c ff4f3f>메인 메뉴<c>가 열리므로……"""
11_voice_NPC_5098_204#0,"""“<c ff4f3f>퀘스트<c>” 안에 있는<br>“<c ff4f3f>아크스 미션<c>”을<br>선택해 주세요."""
11_voice_NPC_5098_205#0,"""<c ff4f3f>아크스 미션<c>을 확인하는 방법은<br>이해하셨습니까?"""
11_voice_NPC_5098_206#0,"""그럼 다음으로<br>과제인 “<c ff4f3f>미션<c>”의 진행 방법을<br>확인해 보죠."""
11_voice_NPC_5098_207#0,"""눈앞의 “레베카”에게 말을 걸어<br>“<c ff4f3f>스토리 퀘스트<c>”에서<br>“<c ff4f3f>시온과의 만남<c>”을 받아 주세요."""
text100#0,"""<%Decide>로 <yellow>아크스 미션<c>을 선택해 주세요."""
text110#0,"""<%Decide>로 <yellow>메인 미션<c>을 선택해 주세요."""
text120#0,"""<%Decide>로 <yellow>“시온과의 만남”<c>을 선택해 주세요."""
text130#0,"""<%Cancel>로 아크스 미션을 <yellow>닫아 주세요.<c>"""
text140#0,"""<%Cancel>로 메인 메뉴를 <yellow>닫아 주세요.<c>"""
