name01#0,"""아스타르테"""
11_voice_shop_410#0,"""안녕하세요.<br>아크스 기초 교육 담당관<br>아스타르테입니다."""
text02#0,"""이번에 새로운 실전형 교육 프로그램<br>“<c ff4f3f>미션 보드<c>”를<br>담당하게 되었습니다."""
text03#0,"""다양한 목표를 달성하면<br>자연스럽게 아크스 지식을 익히게 됩니다.<br>그것이 <c ff4f3f>미션 보드<c>입니다."""
text04#0,"""구조는 직접 보시는 편이<br>이해가 빠를 테니<br>실제로 확인해 보죠."""
text05#0,"""<c ff4f3f>메인 메뉴<c>를 열 테니,<br>“<c ff4f3f>퀘스트<c>” 카테고리의 “<c ff4f3f>미션 보드<c>”를<br>선택해 주세요."""
text06#0,"""<c ff4f3f>미션 보드<c>를 확인하는 방법은<br>이해하셨습니까?"""
text07#0,"""그럼 다음으로<br>“<c ff4f3f>미션<c>”을 진행하는 방법을<br>실습해 보죠."""
text08#0,"""우선 퀘스트 카운터로 가서<br><c ff4f3f>스토리 퀘스트<c>의<br>“<c ff4f3f>첫 번째 매터 보드<c>”를 받아 주세요."""
text100#0,"""<c ff4f3f>미션 보드<c>를 선택해 주세요<pict Alpha_B>"""
text110#0,"""<yellow>메인 미션<c>을 선택해 주세요<pict Alpha_B>"""
text120#0,"""<c ff4f3f>“첫 번째 매터 보드”를 선택해 주세요<c>"""
text130#0,"""<yellow>미션 보드 창을 닫아 주세요<c><pict Alpha_A>"""
text140#0,"""<yellow>메인 메뉴<c>를 <c ff4f3f>닫아 주세요<c><pict Alpha_A>"""
