un_063170_0010#0,"""¡Oh! ¡Buenos dias!, ¡Aqui estamos Patty y Tea!"""
un_063170_0020#0,"""Ah, <%me>. Ahora mismo estamos discutiendo las impresiones sobre las operaciones para las actualizaciones de los A.I.S."""
un_063170_0030#0,"""Ellas se hacen llamar asi mismas informantes, y aparentemente ellas han escuchado opiniones de otros miembros Arks."""
un_063170_0040#0,"""Muy bien, ¿Por que no me comentan ahora ustedes dos sobre sus opiniones personales?"""
un_063170_0050#0,"""Wow Ludmilla, tu si que tienes un gran ojo si nos buscas a nosotras para obtener información."""
un_063170_0060#0,"""Nosotras tenemos experiencia pilotando A.I.S; así que por favor dejanos saber como podemos ayudar."""
un_063170_0070#0,"""Sí, ¡Sí! Nosotras siempre somos las que entrevistamos, así que es un poco divertido ser las que estan siendo entrevistadas de vez en cuando"""
un_063170_0080#0,"""Yo sot la unica de nosotras dos la que siempre hace todas las entrevistas... Tu realmente deberias comenzar por tu cuenta, Patty."""
un_063170_0090#0,"""¡Muy bien entonces!, ¡Preguntame lo que sea!"""
un_063170_0100#0,"""¿Siquiera nos estas escuchando hermana tonta?"""
un_063170_0110#0,"""Entonces comencemos con lo basico. ¿Como es la movilidad en el espacio exterior? ¿Sienten algun efecto en sus cuerpos?"""
un_063170_0120#0,"""Ahh, Bueno eso es un poco como un sentimiento de flotar mas que sobre estar en tierra. Algunas veces es como... \""hrng!\"" Creo..."""
un_063170_0130#0,"""Ah, um... Bien, Que tal sobre el contragolpe del A.I.S. al usar el  Hi-Boost?"""
un_063170_0140#0,"""Ese es el comienza como...  \""bam!\"" y despues termina todo en \""gwah!\"", ¿Cierto? ¡Me gusta ese!"""
un_063170_0150#0,"""Uh-huh, Ya veo... Que tal tu, Tea?"""
un_063170_0160#0,"""En el espacio, puede realmente ser dificultoso para definir el arriba o abajo en algunas ocaciones..."""
un_063170_0170#0,"""Hay un poco de precion durante el Hi-Boost, pero no creo que eso sea suficiente como para preocuparnos."""
un_063170_0180#0,"""¡Ya veo! ¿Que opinas sobre la precision al disparar?"""
un_063170_0190#0,"""Creo que si usaran munición real, la resistencia del aire tendría una mayor influencia, pero debido a que se usan balas Photon, es un problema menor..."""
un_063170_0200#0,"""Oki-dokie! ¿Tienes alguna otra pregunta para mi?"""
un_063170_0210#0,"""Ah, Ya termine todo contigo. Muchas gracias."""
un_063170_0220#0,"""Oh si <%me>. Tambien me gustaria preguntar por tu opinion personal mas tarde. Ahora, Si no te importa contestar mas preguntas Tea..."""
un_063170_0230#0,"""¡No me ignores! ¡Tambien quiero contestar!"""
