text00#0,"""뭘 알고 싶나요?"""
text01#0,"""「스킬 링」이란"""
text02#0,"""「스킬 링 강화」란"""
text03#0,"""이곳을 떠난다"""
Title#0,"""『스킬 링』에 대하여"""
text01#1,"""스킬 링이란?<br>왼손에 장비하는 L 링과<br>오른손에 장비하는 R 링, 두 종류가 있습니다.<br>장비하면 링 스킬을 습득합니다.<br><br>효과 예<br><c 00ffff>L 링 스킬<c>: 카타나 기어 가드 릴리즈<br>\u3000카타나로 가드 상태를 유지하면,<br>\u3000강제로 기어를 해방.<br>\u3000해방 중 기어 증가량이 대폭 감소합니다.<br><br><c 00ffff>R 링 스킬<c>: PP 컨버트/링<br>\u3000일정 시간 PP 자동 회복량이 상승하고<br>\u3000최대 HP가 감소합니다."""
text02#1,"""스킬 링은 「프랑카's 카페」 안의<br>「스킬 링 숍 점원 아르체」에게<br>메세타와 개더링 소재 등을<br>사용해 얻을 수 있습니다."""
Title#1,"""『스킬 링 강화』에 대하여"""
text01#2,"""스킬 링에는 강화 상한이 있으며<br>그 수치까지 강화할 수 있습니다.<br><br>스킬 링을 장비한 상태로<br>경험치를 얻으면 스킬 링의<br>링 EXP가 쌓입니다."""
text02#2,"""링 EXP를 가득 채우면<br>강화 상한이 상승합니다.<br><br>스킬 링 강화는<br>숍 에리어의 아이템 랩에서<br>메세타와 개더링 소재 등을 사용해<br>진행할 수 있습니다.<br><br><yellow>※스킬 링을 강화하지 않아도<br>링 EXP는 계속 쌓입니다.<c>"""
text03#1,"""L 링은<br>강화 시 링의 상승 능력치를<br>선택할 수 있습니다.<br><br>선택할 수 있는 상승 능력치는<br>링 종류에 따라 다릅니다."""
