text00#0,"""뭘 알고 싶나요?"""
text01#0,"""「개더링」이란"""
text02#0,"""「요리」란"""
text03#0,"""「콤보와 피버」란"""
text04#0,"""「실적과 레벨」이란"""
text06#0,"""이곳을 떠난다"""
Title#0,"""『개더링』에 대하여"""
text01#1,"""『개더링』은,<br>「채집」이나 「낚시」로 소재 아이템을<br>모으는 콘텐츠입니다.<br><br>모은 소재 아이템을<br>「프랑카's 카페」로 가져가면<br><yellow>스킬 링<c>과 <yellow>요리<c>를<br>얻을 수 있습니다."""
text02#1,"""<green>■채집<c><br>・「채집 스폿」에 접속하면,<br>\u3000<yellow>광석<c> 등의 아이템을 얻을 수 있습니다.<br>\u3000※<green>채집 스태미너<c>를 소모합니다.<br><br><c 00ffff>■낚시<c><br>・「낚시 스폿」에 접속한 뒤,<br>\u3000낚시 중 알맞은 때 버튼을 누르면<br>\u3000<yellow>물고기<c> 등의 아이템을 얻을 수 있습니다.<br>\u3000※<c 00ffff>낚시 스태미너<c>를 소모합니다."""
text04#1,"""■스태미너 회복에 대하여<br>・채집과 낚시 스태미너는 <yellow>시간이 지나면<br>\u3000자동으로 회복되지만<c>, 스태미너가 부족할 때는<br>\u3000SG를 소모해 즉시 회복할 수도 있습니다.<br><br>■【극】 아이템에 대하여<br>・일반 「채집」「낚시」 외에,<br>\u3000「좋은 곡괭이(낚시대)」나<br>\u3000「【극】곡괭이(낚시대)」 등의<br>\u3000소모 아이템을 선택해 실행하면,<br>\u3000<yellow>희귀 소재 획득률이 올라갑니다."""
Title#1,"""『개더링 요리』에 대하여"""
text01#2,"""「요리」 아이템을 사용하면,<br>잠시 동안 아래와 같은<br>특별한 효과를 얻습니다.<br><br>예)<br><green>【삼림 토마토 샐러드】<c><br>・「채집」 시 채소 획득률과<br>\u3000추가 채집 발생률이 조금 상승<br><br><green>【도쿄풍 햄버그】<c><br>・즉시 HP 회복<br><br><yellow>※요리는 서브 팔레트에 설정 가능<c>"""
text02#2,"""<yellow>개더링 실적<c>을 달성하면,<br>새 요리 아이템 레시피를 얻어,<br><green>요리 숍<c> 메뉴가 늘어납니다.<br><br>요리 효과가 지속되는 동안 다른 요리를<br>사용하면 효과와 지속 시간이<br>덮어써집니다."""
Title#2,"""『콤보・피버』에 대하여"""
text01#3,"""<c 00ffff>『콤보』<c><br>채집・낚시를 연속으로 실행하면<br>콤보가 발생합니다.<br><br>콤보 수에 따라<br>피버 발생률이 올라갑니다.<br><br>또한 채집・낚시 스폿의<br>남은 횟수를 0으로 만들면<br>콤보가 더 추가됩니다."""
text02#3,"""<c 00ffff>『피버』<c><br>채집・낚시를 실행하면<br>피버가 발생할 때가 있습니다.<br><br>피버 중에는 소재 획득량이 늘고<br>레어 찬스가 발생하기 쉬워집니다.<br>또한 채집・낚시 스폿의<br>남은 횟수가 무제한이 됩니다."""
text03#1,"""콤보나 피버가 끝나면<br>콤보 수에 따라 경험치를 얻습니다.<br><yellow>※획득 경험치에는 상한이 있습니다.<c>"""
text00#1,"""『실적・레벨』에 대하여"""
text01#4,"""채집・낚시를 실행해 조건을 충족하면<br>개더링 실적을 달성합니다.<br><br>달성 시 보상을 얻습니다.<br><br>실적을 달성하면 더 상위 실적이<br>해방되기도 합니다."""
text02#4,"""달성한 실적 수에 따라<br>채집 레벨・낚시 레벨이 상승합니다.<br><br>채집 레벨・낚시 레벨이 오르면<br>피버 시간이 길어지는 등<br>다양한 보상을 얻습니다.<br><br>또한 채집・낚시 레벨 상승 시<br>채집・낚시 스태미너가 회복됩니다."""
