text10#0,"""Tentang NT dan OT Weapons"""
text20#0,"""Tentang Menempa NT Weapons"""
text30#0,"""Tentang Unlocking Potentials pada NT Weapons"""
text40#0,"""Tentang Menempa Atribut pada NT Weapons"""
text50#0,"""Tentang Overgrind Limit"""
text60#0,"""Tentang Special Ability Factors"""
text70#0,"""『オーバーリミット』について"""
text80#0,"""『特殊能力因子』について"""
text90#0,"""Kembali"""
text14#0,"""Kembali"""
Title#0,"""Tentang New Type dan Old Type Weapons"""
text01#0,"""Terdapat 2 jenis senjata:<br>\u3000- \""Old Type\"" Weapons<br>\u3000- \""<c 00ffff>New Type (NT)<c>\"" Weapons<br><br>Sejak Episode 4, sebuah sistem persenjataan baru<br>diperkenalkan dan dipanggil <c 00ffff>New Type<c> Weapons atau NT Weapons."""
text02#0,"""Untuk <c 00ffff>New Type Weapons<c>, tab \""Item Details\"", terdapat bar EXP yang ditampilkan. Mereka juga akan membuat bingkai biru di sekitar ikon senjata.<br><br>※Senjata memiliki akhiran \""<c 00ff00>-NT<c>\"" yang dimana merupakan pengenal bahwa senjata tersebut adalah New Type Weapon."""
text03#0,"""Dengan New Type Weapon, hal itu menawarkan stat terbaik lebih banyak dari Old Type Weapons.<br><br>Berbagai musuh pada \""Collect File\"" akan menjatuhkan NT<br>Weapons."""
Title#1,"""Tentang Menempa NT Weapons"""
text01#1,"""「<c 00ffff>新世武器<c>」は<br>アイテムラボで「アイテム強化」すると<br>強くなります。<br><br>好きな新世武器に、素材となる別の武器を<br>いくつも合成して「強化EXP」をためます。<br><br>「強化EXP」ゲージが満タンになると<br>「<yellow>強化値<c>」が上昇し、強くなります。"""
text02#1,"""新世武器は、１回のアイテム強化につき<br>以下のコストが必要です。<br><br><yellow>・素材となる別の武器（最大５個まで）<br>・グラインダーなどの消費アイテム<br>・メセタ<c>"""
text03#1,"""素材にする武器によっては、合成時の<br>「強化EXP」にボーナスがつきます。<br><br><yellow>・素材ボーナス<c><br>\u3000同カテゴリ・レアリティ・名前なら加算。<br><br><yellow>・強化ボーナス<c><br>\u3000強化値＋１以上なら加算。"""
text04#0,"""新世武器を強化すると<br>「成功」または「大成功」が発生します。<br><br>「大成功」すると、通常より多くの<br>強化EXPを得ることができます。<br><br>※新世武器は、強化の「失敗」はありません。"""
text05#0,"""同時に合成する武器の数が多いほど<br>大成功時のボーナスも大きくなります。<br><br>また、「大成功率アップ系」などの<br>「補助アイテム」を合成時に選ぶことで<br>大成功率を上げることもできます。"""
text06#0,"""武器を強化すると、<br><br>「（武器の名前）＋１」<br><br>のように、アイテム名の後ろに<br>強化値が表示されます。"""
Title#2,"""Tentang Unlocking Potentials pada NT Weapons"""
text01#2,"""すべての新世武器は、<br>「<yellow>潜在能力<c>」を秘めています。<br><br>潜在能力とは「特定条件下で威力アップ」<br>などの、武器により異なる能力です。<br><br>新世武器の強化値を、<br><yellow>\u3000「＋１０」→「＋１１」にする時<br>\u3000「＋２０」→「＋２１」にする時<br>\u3000「＋３０」→「＋３１」にする時<c><br>に、この「潜在能力解放」を行います。"""
text02#2,"""潜在能力を解放するには、<br>「フォトンスフィア」などの<br>素材アイテムとメセタが必要です。"""
text03#2,"""潜在能力にはレベルがあり、<br>解放するたびにLv.1～3まで上昇します。<br><br>潜在能力レベルが高いほど、<br>高い効果を得られます。"""
text00#0,"""Tentang Menempa Atribut pada NT Weapons"""
text01#3,"""Untuk New Type Weapons, terdapat \""Attribute\"" dan \""Attribute Value.\""<br><br>\""Attribute\"" merupakan tipe elemen pada senjatamu.<br>\""Attribute Value\"" merupakan angka persentase pada elemen di senjatamu."""
text02#3,"""Untuk menaikkan Attribute Value, kamu membutuhkan sebuah material melalui penempaan senjata itu sendiri.<br><br>Untuk hal ini, senjata <yellow>membutuhkan rarity dan type yang sama<c>."""
text03#3,"""Ketika menggunakan tipe senjata yang sama, dengan nama dan rarity yang sama pada target weapon, <yellow>attribute value akan naik secara signfikan<c>.<br><br>Angka akan meningkat walaupun atributnya berbeda baik dalam value maupun atribut sebenarnya itu berbeda.<br><br>Umumnya hingga 50. Namun, Senjata dan Egg ★13 memiliki hingga 60."""
text04#1,"""Atribut yang tinggi mendapatkan damage lebih yang diberikan ke musuh.<br><br>Selanjutnya, damage yang sesuai dengan atribut kelemahan musuh akan mengakibatkan damage yang lebih besar lagi!<br><br>Atribut ditentukan saat kamu mendapatkan senjata, kamu juga dapat menggantinya menggunakan item pendukung."""
text00#1,"""Tentang Overgrind Limit"""
text01#4,"""新世武器の強化値上限は、<br>「＋３０」までです。<br><br>強化値が「＋３０」に達し、<br>潜在能力「Lv.3」を解放すると<br>上限となります。"""
text02#4,"""ただし、以下の場合は強化値上限を<br>最大で「＋３５」まで拡張できます。<br><br>・<yellow>同名の武器<c>を合成した場合<br>・「強化値上限＋１」などの<br>  補助アイテムを使用した場合<br><br>※同名の武器が強化値上限拡張済の場合、<br>\u3000通常より多く強化値上限を拡張できます。<br>\u3000（最大＋３５まで）"""
text00#2,"""Tentang Special Ability Factors"""
text01#5,"""一部の新世武器やユニットは強化値が一定の<br>値に達すると<c 00ffff>「特殊能力因子」<c>が解放されます。<br><br>新世武器：強化値「+35」<br>ユニット：強化値「+10」<br><br>解放した「因子」は、ほかの特殊能力と同様に<br>アイテムラボで「特殊能力追加」の<br>素材にすると効果を発揮します。"""
text02#5,"""どのアイテムがどんな因子を持っているかは、<br>アイテムパックから「特殊能力因子確認」を<br>選ぶことで、確認できます。<br><br><yellow>※特殊能力因子も、一般的な特殊能力と同等の<br>\u3000ルールで特殊能力追加ができます。<c>"""
Title#3,"""<br>『打撃力・射撃力・法撃力』について<br>"""
text01#6,"""攻撃力には「打撃力」「射撃力」「法撃力」の<br>３種類があります。<br><br>「打撃力」は打撃武器による近接攻撃<br>「射撃力」は射撃武器による間接攻撃<br>「法撃力」はテクニックを用いた攻撃に影響します。<br><br>パラメータの数値が高いほど、各攻撃方法の<br>威力が上昇します。"""
