text00#0,"""What do you want to know?"""
text01#0,"""About Skill Rings"""
text02#0,"""About Strengthening Skill Rings"""
text03#0,"""Leave"""
Title#0,"""About Skill Rings"""
text01#1,"""What is a Skill Ring?<br>There are two kinds of Skill Ring:<br>L rings for the left hand and R rings for the right.<br>Equipping a ring grants you its Ring Skill.<br><br>Example effects:<br><c 00ffff>L Ring Skill<c>: Katana Gear Guard Release<br> Hold Guard to force a Gear release.<br> During this release, Gear empties faster.<br><br><c 00ffff>R Ring Skill<c>: PP Convert/Ring<br> Temporarily increases PP Auto-recovery<br> while decreasing max HP."""
text02#1,"""Skill Rings can be obtained at Franka's<br>Cafe from the Skill Ring Shop Clerk, Aaltje,<br>using meseta and gathering materials."""
Title#1,"""『スキルリングの強化』について"""
text01#2,"""スキルリングには強化の最大値があり<br>その値まで強化する事が出来ます。<br><br>スキルリングを装備した状態で<br>経験値を得るとスキルリングの<br>リングＥＸＰが溜まります。"""
text02#2,"""リングＥＸＰを一杯まで溜めると<br>強化の最大値が上昇します。<br><br>スキルリングの強化は<br>ショップエリアのアイテムラボにて<br>メセタとギャザリングの素材などを使って<br>行うことが出来ます。<br><br><yellow>※スキルリングは強化しなくても<br>リングＥＸＰは蓄積されていきます。<c>"""
text03#1,"""Ｌリングの場合<br>強化すると、リングの上昇パラメータを<br>選択できます。<br><br>選択できる上昇パラメータは<br>リングの種類毎に異なります。"""
