linewindow#0,"""<br>About Partner Characters<br>"""
text00#0,"""About Partner Characters"""
text01#0,"""Once you have met certain conditions,<br>you can adventure with partner characters.<br><br>Partner characters can be called<br>from the terminal in the Campship.<br><br>However, you can't call partner characters<br>who have already been called in the same room."""
text01#1,"""よし、んじゃこれで<br>俺からの依頼は完了、ってことで。"""
text02#0,"""どうだ、ちょっとは参考になったか？<br>これがクライアントオーダーの流れだ。"""
text03#0,"""これからは、一人でこういう依頼を<br>受けてはこなしてって<br>繰り返していくんだぜ。"""
text04#0,"""ま、キツイと思ったら後回しとか<br>上手い具合に立ち回っていけよ。<br>無理や無茶は命取りだからな。"""
text05#0,"""丁度良いから、俺のパートナーカードも<br>渡しとくよ。どうしようもない時とか<br>頼ってくれて、構わないぜ？"""
linewindow001#0,"""<br>アークスの仲間たちにクライアントオーダーが発生しました。<br>"""
linewindow002#0,"""<br>Zeno can now be called as a partner.<br>"""
linewindow003#0,"""<br>Please select the matter to investigate next.<br>"""
