choice01#0,"""Sobre Etoile"""
choice02#0,"""Sobre Etoile Double Saber <pict ds_icon>"""
choice03#0,"""Sobre Etoile Dual Blades <pict du_icon>"""
choice04#0,"""Sobre Etoile Wand <pict wd_icon>"""
choice05#0,"""Sobre las Skill del Etoile"""
choice_end#0,"""Salir"""
Title#0,"""『エトワール』について"""
text0001#0,"""Etoile es una clase sucesora que presenta fuertes habilidades defensivas y de apoyo.<br><br>Los Etoiles pueden equipar Double Saber <pict ds_icon> Dual Blade <pict du_icon> y Wand <pict wd_icon>.<br><br><yellow>Double Saber <pict ds_icon><c><br>Alta movilidad, con un enfoque en el combate aéreo.<br><yellow>Dual Blade <pict du_icon><c>Implacable e incesantes ataques.<br><yellow>Wand <pict wd_icon><c><br>Ataques que te permiten moverte libremente."""
text0002#0,"""Para cambiar a la clase Etoile, primero debe completar una orde de cliente específica.<br><br>Para completar esta Ordende de Cliente(CO), deberá obtener un Título cuyas condiciones sean obtener 2 o más clases<pict mainclass_icon> en Lv.75 o más."""
text0003#0,"""Etoile es diferente de otras clases en varias formas:<br><br>・ No se puede establecer una subclase<pict subclass_icon><br>(Si una Mision tiene restricciones de nivel que se refieren a tu subclase, solo considera el nivel de tu clase principal<pict mainclass_icon>).<br><br>・Algunos potenciales y anillos de habilidad no tienen efecto<br>(Por ejemplo, Battle Awakening, R/Attack Advance, etc.)<br><br>・Tiene su propias CO de liberación de límite de nivel(Lv Cap)<br>Los Support Partners no pueden usar clase Etoile"""
Title#1,"""Etoile Double Saber <pict ds_icon>"""
text0001#1,"""Cuando un Double Saber <pict ds_icon> está equipado con Etoile, realiza ataques Etoile Double Saber y PA en lugar de los ataques normales de Double Saber.<br><br>Etoile Double Saber tiene alta movilidad y un alto rendimiento aéreo, lo que lo hace efectivo para el combate aéreo.<br><br>Hay muchas habilidades que alteran sus acciones, y puedes hacerte más efectivo en la batalla eligiendo las habilidades que se adapten a tu propio estilo de lucha."""
text0002#1,"""Cuando aprendes la habilidad \""Etoile Double Saber Gear\"", se agrega una barra a la parte superior de la Paleta de armas.<br><br>El Gear se llena cuando atacas a los enemigos, y cuando recibes daño, el Gear se consumirá para reducir el daño que recibes.<br><br>Mientras más ataques, mejores serán tus defensas, así que no dejes de pelear."""
text0003#1,"""Además, puede consumir su Gear para desencadenar un poderoso ataque llamado \""Enhance Attack\"".<br><br>Depende de usted evaluar cada batalla y decidir si usar su Gear para ataque o defensa.<br><br>Enhance Attack<br><yellow>・Mantenga presionado el botón de ataque normal<c> para consumir una unidad de Gear y realizar un poderoso ataque.<br><br><red>※Si se activa con menos de 1 unidad de Gear, el poder del ataque se reducirá<c>."""
