text100#0,"""About Client Orders"""
text101#0,"""A new client order is available for Revelle. Revelle can be found in the gate area, near the east quest counter."""
tutorial01#0,"""A new client order is available for Marlu.<br><br>Marlu can be found in the gate area, Central Hall."""
tutorial02#0,"""A new client order is available for Ohza.<br><br>Ohza can be found in the gate area, Central Hall."""
tutorial03#0,"""A new client order is available for Lisa.<br><br>Lisa can be found in the gate area, Central Hall."""
tutorial04#0,"""A new client order is available for Azanami.<br><br>Azanami can be found in the gate area, Central Hall."""
tutorial05#0,"""A new client order is available for Saga.<br><br>Saga can be found in the gate area, by the central teleporter."""
tutorial06#0,"""A new client order is available for Katori.<br><br>Katori can be found in the gate area, by the central teleporter."""
tutorial07#0,"""A new client order is available for Jean.<br><br>Jean can be found in the shop area, South Passage."""
tutorial08#0,"""A new client order is available for Lola.<br><br>Lola can be found in the gate area, by the Medical Center."""
tutorial09#0,"""A new client order is available for Pietro.<br><br>Pietro can be found in the gate area, by the Class Counter."""
tutorial10#0,"""In the ARKS lobby,<br>there are ARKS who handle each class.<br><br>Ohza           :Hunter, Fighter<br>Marlu          :Force, Techer<br>Lisa            :Ranger, Gunner<br>Azanami      :Braver<br>Saga, Katori :Bouncer<br>Pietro         :Summoner<br><br>Find them in the gate area and talk to them."""
tutorial11#0,"""Besides that, various characters<br>will ask for client orders.<br><br>Lola      :Gate area, Medical Center<br>Revelle  :East of the Quest Counters<br>Jean     :Shop area, south outer passage<br><br>Talk to them too."""
