msc_020270_0010#0,"""ที่นี่มัน..."""
msc_020270_0020#0,"""มีบรรยากาศแตกต่างจากที่อื่นอย่างสิ้นเชิงเลยแฮะ"""
msc_020270_0030#0,"""สิ่งพวกนี้มันคืออะไรเนี่ย?"""
msc_020270_0040#0,"""เธอไม่ควรไปแตะต้องมันน่าจะดีกว่านะ"""
msc_020270_0050#0,"""ศูนย์วิจัยของ ARKS งั้นเหรอ?"""
msc_020270_0060#0,"""อ-อ้อ... จริงด้วยสิ"""
msc_020270_0070#0,"""หืม?"""
msc_020270_0080#0,"""เธอคิดว่าพวกเขาทำอะไรกันที่นี่เนี่ย?"""
msc_020270_0090#0,"""ไม่รู้สิ..."""
msc_020270_0100#0,"""พวกเรามีเรื่องอื่นให้ต้องกังวลมากกว่านะ"""
msc_020270_0110#0,"""...ฉันก็เหมือนกัน"""
msc_020270_0120#0,"""เธอพูดถูก เรารีบไปหามาน่อนกันเถอะ"""
msc_020270_0130#0,"""โอ๊ะ ดูเหมือนว่าจะมีห้องอยู่ตรงนั้นนะ"""
msc_020270_0140#0,"""ไปลองดูข้างในกันเถอะ"""
