msc_020280_0010#0,"""...คนเหรอ?!"""
msc_020280_0020#0,"""เอ๊ะ?"""
msc_020280_0030#0,"""อา... นั่นสินะ"""
msc_020280_0040#0,"""เอ่อ... ตอนนี้พวกเราอยู่ที่ไหนงั้นเหรอ?"""
msc_020280_0060#0,"""..."""
msc_020280_0070#0,"""เอ่อ... สวัสดี..."""
msc_020280_0080#0,"""คุณรู้ไหมว่ามาน่อนอยู่ที่ไหน?"""
msc_020280_0090#0,"""มาน่อนได้ผ่านมาทางนี้ไหม?"""
msc_020280_0100#0,"""มาน่อนงั้นเหรอ...?"""
msc_020280_0110#0,"""คุณรู้จักมาน่อนด้วยเหรอ?"""
msc_020280_0120#0,"""ฉันไม่รู้ เธอไม่ได้อยู่ที่นี่หรอก"""
msc_020280_0130#0,"""ขอโทษนะคะ เอ่อ... เซเฟตโต้ (Zephetto) อยู่ที่ไหนเหรอคะ?"""
msc_020280_0140#0,"""เซเฟตโต้ (Zephetto)..."""
msc_020280_0150#0,"""ท่านผู้ปกครองอยู่ที่หอควบคุม (Control Tower) ถัดจากห้องนี้ไปค่ะ"""
msc_020280_0160#0,"""หอควบคุม (Control Tower)...?"""
msc_020280_0170#0,"""ฉันขอถามอะไรคุณอีกหน่อยได้ไหม?"""
msc_020280_0180#0,"""..."""
msc_020280_0190#0,"""ฉันมีคำถามมากมายเลย แต่ก็ไม่มีใครยอมตอบอะไรอีกแล้วล่ะ"""
msc_020280_0200#0,"""ผู้หญิงคนนั้นบอกว่าเซเฟตโต้ (Zephetto) ไปทางนี้นี่นา"""
