name_7199#0,"""구이덴"""
msn_005013_0001#0,"""음, 순조롭게 힘을 기르고 있는 것 같군."""
msn_005013_0002#0,"""하지만 아직 배워야 할 것은 많다.<br>계속해서 모두에게 말을 걸어 보면 좋을 것이다."""
msn_005013_0101#0,"""모두에게 도움이 되어 준 모양이군."""
msn_005013_0102#0,"""이제 슬슬 각 클래스에 대해 배워도 좋겠지."""
msn_005013_0103#0,"""다양한 클래스를 자유자재로 다룰 수 있게 되면<br>강력한 돌즈를 상대로도 우위에 설 수 있다."""
msn_005013_0104#0,"""센트럴 시티에는 각 클래스의 교관들이 있다.<br>모두에게 힘이 되어 달라고 전해 두었다."""
msn_005013_0105#0,"""센트럴 시티 남동쪽에 있으니,<br>각 클래스에 대해 확실히 배워 주게."""
msn_005013_0201#0,"""상당히 힘을 기른 모양이군."""
msn_005013_0202#0,"""그 몸가짐…… 보면 알 수 있다.<br>이제 한 사람 몫의 아크스라 해도 좋겠지."""
msn_005013_0203#0,"""그리고…… 모르는 것이 있다면,<br>지금까지 배운 것을 떠올려 보면 좋을 것이다."""
msn_005013_0204#0,"""앞으로의 활약을 기대하겠다."""
