name_7013#0,"""이루마"""
name_7026#0,"""파리아"""
msn_027650_0010#0,"""이건 어때?"""
msn_027650_0020#0,"""수치적으로는 나쁘지 않은 것 같습니다만…."""
msn_027650_0030#0,"""내구성은 검증해 보지 않으면 뭐라…."""
msn_027650_0040#0,"""그럼 샘플을 가져가서<br>자세히 조사해 보자."""
msn_027650_0050#0,"""또 무슨 연구야?"""
msn_027650_0060#0,"""연구 가치가 있어 보이네"""
msn_027650_0065#0,"""또 봐!"""
msn_027650_0070#0,"""우와, 깜짝이야!"""
msn_027650_0080#0,"""어느새 등뒤에…."""
msn_027650_0090#0,"""응, 그런 거야…."""
msn_027650_0100#0,"""아니, 어라?"""
msn_027650_0110#0,"""…뭐야, 너였어?"""
msn_027650_0120#0,"""전혀 기척을 느끼지 못했습니다…."""
msn_027650_0130#0,"""어, 그게…<br>지금은 M.A.R.S. 개량을 생각하고 있어서."""
msn_027650_0140#0,"""쓸 만한 소재가 없나 찾고 있었어."""
msn_027650_0150#0,"""개량이라니, 어디를?"""
msn_027650_0160#0,"""지금도 충분히 강한데?"""
msn_027650_0170#0,"""M.A.R.S.는<br>강력한 병기라고는 생각해."""
msn_027650_0180#0,"""어쨌든 그 바엘과<br>맞설 수 있었으니까."""
msn_027650_0190#0,"""하지만 운용 면에서는<br>아직 과제가 많아."""
msn_027650_0200#0,"""가장 큰 문제는<br>누구나 다룰 수 있는 물건이 아니라는 것입니다."""
msn_027650_0210#0,"""M.A.R.S.는 대식가거든."""
msn_027650_0220#0,"""짧은 시간이라도 사용자의 포톤을<br>대량으로 소비해 버려."""
msn_027650_0230#0,"""즉 너 정도가 아니면<br>제대로 다룰 수 없다는 거야."""
msn_027650_0240#0,"""당신의 체내 포톤 양으로도<br>장시간은 쓸 수 없습니다…."""
msn_027650_0250#0,"""그것들을 해결하기 위해<br>아이디어도 낼 겸 각지를 돌아다니고 있는 거지."""
msn_027650_0260#0,"""힘들겠네."""
msn_027650_0270#0,"""무슨 단서는 있어?"""
msn_027650_0280#0,"""힘들…긴 하지만<br>보람은 있어."""
msn_027650_0290#0,"""뭐, 뭐어…<br>그럭저럭…이려나."""
msn_027650_0300#0,"""하지만 이게 잘되면<br>다른 아이디어도 실현할 수 있을지도 몰라."""
msn_027650_0310#0,"""새로운 무기는 물론이고<br>그 이외의 것도 말이야."""
msn_027650_0320#0,"""나는 언젠가는 내 지식이나 기술을<br>전투 이외의 분야에도 도움이 되게 하고 싶어."""
msn_027650_0330#0,"""생활을 더 편하게 한다거나…."""
msn_027650_0340#0,"""재밌는 놀이 도구를 만든다거나."""
msn_027650_0350#0,"""우선은 전투 도구를 만드는 게 먼저입니다."""
msn_027650_0360#0,"""…정말, 파리아는 금방<br>그런 식으로…."""
msn_027650_0370#0,"""죄송합니다…."""
msn_027650_0380#0,"""아, 아니, 화내는 게 아니라<br>꿈이 있는 이야기를 하자는 거야."""
msn_027650_0390#0,"""꿈…."""
msn_027650_0400#0,"""연구원에게 있어서<br>가장 소중한 개념 말이군요."""
msn_027650_0410#0,"""꿈을 갖고 행동하며<br>실현한 꿈에 책임을 진다…."""
msn_027650_0420#0,"""그렇지."""
msn_027650_0430#0,"""그 꿈을 실현하기 위해<br>또 너에게 힘을 빌릴지도 몰라."""
msn_027650_0440#0,"""맡겨 줘."""
msn_027650_0450#0,"""언제든지 괜찮아."""
msn_027650_0460#0,"""응, 의지하고 있어."""
