ssc_501160_0010#0,"""너도 이쪽에 와 있었구나."""
ssc_501160_0020#0,"""아이나야말로."""
ssc_501160_0030#0,"""둘이서 뭘 하고 있었어?"""
ssc_501160_0040#0,"""나는 카누이에게<br>싸우는 법에 대해 이것저것 듣고 있었어."""
ssc_501160_0050#0,"""카누이에게<br>싸우는 법에 대해 이것저것 듣고 있었어."""
ssc_501160_0060#0,"""지금까지는 너나 마논을 따라잡고 싶어서<br>혼자서 싸우는 것만 생각했었어."""
ssc_501160_0070#0,"""하지만 훈련 교관이 되고 나서는<br>그래선 안 된다는 걸 실감했어."""
ssc_501160_0080#0,"""한 명 한 명이<br>기술을 갈고닦는 건 물론 중요해."""
ssc_501160_0090#0,"""하지만 그 이상으로<br>많은 아크스의 연계가 중요하다는 걸 말이야."""
ssc_501160_0100#0,"""본래 아크스의 싸움은<br>집단전이 기본입니다."""
ssc_501160_0110#0,"""당신처럼<br>온갖 무기를 능숙하게 다루며…."""
ssc_501160_0120#0,"""혼자서 행동할 수 있는 자가<br>희소한 법입니다."""
ssc_501160_0130#0,"""그랬던 건가…."""
ssc_501160_0140#0,"""그렇게 칭찬해도…."""
ssc_501160_0150#0,"""대부분의 아크스는<br>하나나 두 개의 무기를 통달하는 것만으로도 벅차요."""
ssc_501160_0160#0,"""전투 스타일도<br>유연하게 바꾸지는 못하죠."""
ssc_501160_0170#0,"""개개인의 아크스는 만능이 아닙니다."""
ssc_501160_0180#0,"""그렇기에 각자의 특성을 이해하고<br>적절하게 지시를 내릴 수 있는 자가 필요한 것입니다."""
ssc_501160_0190#0,"""그게 대장…."""
ssc_501160_0200#0,"""맞습니다."""
ssc_501160_0210#0,"""이 부분이 잘되지 않으면<br>유기적인 부대 운용은 불가능합니다."""
ssc_501160_0220#0,"""응, 그건 이해할 수 있어."""
ssc_501160_0230#0,"""하지만 모두의 개성을 알기까지<br>나는 굉장히 시간이 걸렸어…."""
ssc_501160_0240#0,"""개개인의 적성을 파악하는 건<br>쉬운 일이 아닙니다."""
ssc_501160_0250#0,"""함께 행동하며<br>상대의 본질을 꿰뚫어 볼 필요가 있습니다."""
ssc_501160_0260#0,"""그러기 위해서는 많은 시간이 걸리죠."""
ssc_501160_0270#0,"""…확실히 훈련대 모두와<br>오랫동안 함께 지내며 이야기를 많이 했었지."""
ssc_501160_0280#0,"""그 안에서 모두가 잘하는 것과<br>못하는 것이 보이기 시작했어."""
ssc_501160_0290#0,"""그 판단을 할 수 있다면<br>제가 가르쳐 드릴 것은 많지 않을 것 같군요."""
ssc_501160_0300#0,"""그, 그래…?"""
ssc_501160_0310#0,"""응? 왜 그래?"""
ssc_501160_0320#0,"""아이나가 딴사람 같아."""
ssc_501160_0330#0,"""아이나, 성장했구나…."""
ssc_501160_0340#0,"""나, 나도<br>조금은 성장한다고."""
ssc_501160_0350#0,"""그렇게 절실하게 말해도…."""
ssc_501160_0360#0,"""하지만 그렇구나,<br>나도 변해가고 있는 거네."""
ssc_501160_0370#0,"""아이나, 혹시 괜찮다면<br>스티아 부대의 연습에 참가하지 않겠습니까?"""
ssc_501160_0380#0,"""어? 그래도 돼?"""
ssc_501160_0390#0,"""제 독단으로 결정할 수는 없지만<br>그렌 대장님도 크로포드 씨도 승낙하실 겁니다."""
ssc_501160_0400#0,"""꼭 부탁하고 싶어."""
ssc_501160_0410#0,"""저희도<br>당신에게 배우고자 합니다."""
ssc_501160_0420#0,"""응, 알았어.<br>잘 부탁해."""
ssc_501160_0430#0,"""저야말로요."""
