msc_040130_0010#0,"""돌아온 거… 맞지?"""
msc_040130_0020#0,"""응, 틀림없어.<br>얼터 렐름이 아니라 할파야."""
msc_040130_0030#0,"""여기가… 할파…."""
msc_040130_0040#0,"""아까는 고마웠어."""
msc_040130_0050#0,"""다친 데는 없어?"""
msc_040130_0060#0,"""고맙다니… 나한테?"""
msc_040130_0070#0,"""뭐야? 날 걱정해 주는 거야?"""
msc_040130_0080#0,"""그럼. 우리보다 먼저 싸우고 있었던 것 같았고,<br>게다가 우리도 도와줬잖아."""
msc_040130_0090#0,"""벼, 별거 아냐. 나도 도망치던 길이었을 뿐이야."""
msc_040130_0101#0,"""<%me> 말대로,<br>우릴 도와준 건 사실이야. 나도 고마워."""
msc_040130_0100#0,"""그래도,<br>우릴 도와준 건 사실이야. 나도 고마워."""
msc_040130_0110#0,"""난 아이나야. 넌 이름이 뭐야?"""
msc_040130_0120#0,"""…몰라."""
msc_040130_0130#0,"""뭐?"""
msc_040130_0140#0,"""눈을 떴을 때는 이미 쓰러져 있었고, 아무것도 기억 안 나.<br>이름도, 내가 누군지도… 하나도."""
msc_040130_0150#0,"""혹시 조사대 일원이었던 거 아냐?<br>조사대를 습격한 이상 현상에 휘말려서 기억을… 마논, 어떻게 생각해?"""
msc_040130_0160#0,"""충분히 그럴 가능성은 있겠네."""
msc_040130_0170#0,"""그보다도 아까 조사대 사람들 상태는…<br>아무리 봐도 정상이 아니었어."""
msc_040130_0180#0,"""응. 같은 아크스인 우릴<br>망설임도 없이 공격했잖아."""
msc_040130_0190#0,"""그들이 공격해 온 게 의식 혼탁 때문인지,<br>아니면 누군가에게 조종당한 건지…."""
msc_040130_0200#0,"""…확인해 볼 필요가 있겠어."""
msc_040130_0210#0,"""다시 얼터 렐름으로 가자."""
msc_040130_0220#0,"""서두르는 게 좋겠어."""
msc_040130_0230#0,"""응, 빨리 가자."""
msc_040130_0240#0,"""그래. 한 번 돌아가서 정비하고 싶긴 하지만,<br>지금은 상황이 너무 급해."""
msc_040130_0250#0,"""있지, 넌 어떻게 할래? 어쩌면 조사대 사람일 수도 있고,<br>같이 가면 기억의 단서가 있을지도 몰라."""
msc_040130_0260#0,"""…기억의 단서…."""
msc_040130_0270#0,"""물론 어디 다쳤을 가능성도 있으니까,<br>메디컬 센터로 데려다줄 수도 있어."""
msc_040130_0280#0,"""……갈래. …나도 갈게."""
