name_7024#0,"""구이덴"""
msn_005012_0001#0,"""왜 그러나? 류커 디바이스다.<br>가이드 마커가 있는 곳으로 향하게."""
msn_005012_0101#0,"""좋아, 돌아왔군."""
msn_005012_0102#0,"""류커 디바이스는 각지에 점재해 있다.<br>발견하면 그때그때 사용할 수 있게 해 두는 것이 좋겠지."""
msn_005012_0103#0,"""……자, 그럼 이제 우리들의 적,<br>\""돌즈\""에 대해 이야기해 두겠다."""
msn_005012_0104#0,"""돌즈는 수수께끼에 싸인 존재다."""
msn_005012_0105#0,"""어디에서 오는지, 왜 우리를 습격하는지,<br>무엇 하나 밝혀진 것이 없다. 생물인지 아닌지조차도."""
msn_005012_0106#0,"""아크스는 오랜 세월 동안 그 미지의 적과 싸움을 이어 오고 있다."""
msn_005012_0107#0,"""앞으로 자네도 돌즈와 싸우게 될 것이다.<br>그러기 위해 아크스로서 힘을 길러 주었으면 한다."""
msn_005012_0108#0,"""시티에는 숙련된 아크스들이 많이 있다.<br>그들에게 전투 기술을 배우면 좋을 것이다. 내가 이야기해 두지."""
msn_005012_0109#0,"""그 밖에도 뛰어난 연구원과 직원들이,<br>자네에게 조언을 해 줄 것이다."""
msn_005012_0110#0,"""적극적으로 말을 걸어 보게."""
msn_005012_0201#0,"""음, 순조롭게 힘을 기르고 있는 것 같군."""
msn_005012_0202#0,"""하지만 아직 배워야 할 것은 많다.<br>계속해서 모두에게 말을 걸어 보면 좋을 것이다."""
