name_7013#0,"""이루마"""
name_7004#0,"""크로포드"""
msn_027640_0010#0,"""바엘과의 싸움을 위해<br>튜닝했던 M.A.R.S…."""
msn_027640_0020#0,"""무사히 가동해 줘서<br>정말 다행이야."""
msn_027640_0030#0,"""꽤 무리한 조정을 했었으니까.<br>솔직히 나도 조금 불안했어."""
msn_027640_0035#0,"""또 봐!"""
msn_027640_0040#0,"""M.A.R.S.는 이루마가 만든 거야?"""
msn_027640_0050#0,"""평범하게 잘 썼는데…."""
msn_027640_0060#0,"""아니, 아이디어는 내가 냈지만."""
msn_027640_0070#0,"""정말?<br>그거 다행이네."""
msn_027640_0080#0,"""M.A.R.S.는<br>모두의 힘을 합쳐서 개발한 거야."""
msn_027640_0090#0,"""할파의 연구원은 물론이고<br>파리아를 비롯한 루시엘란의 힘도 빌렸지."""
msn_027640_0100#0,"""그 중심에 있었던 건 이루마야."""
msn_027640_0110#0,"""헤헤, 단체 작업은 서툴지만<br>뭐, 나름대로 열심히 했어."""
msn_027640_0120#0,"""가장 처음에 떠올린 건<br>센트럴 캐논을 소형화하는 거였어."""
msn_027640_0130#0,"""강력한 병기지만<br>여러모로 제약이 많으니까."""
msn_027640_0140#0,"""차량에 실을 수 있을 정도로<br>작게 만들 수 없을까 생각했지."""
msn_027640_0150#0,"""소형화해서 출력이 낮아져도<br>수가 많으면 보완할 수 있다고."""
msn_027640_0160#0,"""그 이야기를 크로포드와 하고 있으니<br>흥미를 보이는 연구자들이 모이기 시작해서…."""
msn_027640_0170#0,"""파리아도 이야기에 껴줘서<br>루시엘란들도 협력해 주게 됐어."""
msn_027640_0180#0,"""이런저런 아이디어를 나누다 보니<br>정신 차리니 전혀 다른 형태가 되어 있더라고."""
msn_027640_0190#0,"""응응.<br>…역시 파리아의 한마디가 컸어."""
msn_027640_0200#0,"""아크스가 휴대할 수 있게 하자거나<br>다용도형으로 만들 수 없겠냐고 파리아가 말을 꺼냈거든."""
msn_027640_0210#0,"""포를 차량에 싣는 것만 생각했었으니까<br>그건 정말 충격적이었지."""
msn_027640_0220#0,"""…뭐, 뭐 그런 이유로<br>M.A.R.S.는 모두의 지혜가 모인 집대성인 거지."""
msn_027640_0230#0,"""그리고…<br>마지막은 제페토의 아이디어였고."""
msn_027640_0240#0,"""제페토가?"""
msn_027640_0250#0,"""그런 이야기를 전에도 했었지."""
msn_027640_0260#0,"""어떻게 해도 맞지 않았던 마지막 퍼즐 조각을<br>제페토가 맞춰 주었어."""
msn_027640_0270#0,"""파리아의 정신에 숨어 있는 동안<br>이쪽에서 하던 일을 봤었나 봐."""
msn_027640_0280#0,"""그래서 파리아의 \""기억\"" 속에<br>아이디어를 남겨 뒀던… 거지."""
msn_027640_0290#0,"""…문득 그런 생각이 들어."""
msn_027640_0300#0,"""만약 제페토가 처음부터<br>우리 동료였다면 어땠을까 하고."""
msn_027640_0310#0,"""그랬다면<br>좀 더 다른 세계가 되었을지도 모른다고."""
msn_027640_0320#0,"""…하지만 뭐 우리가 태어난 인과를 생각하면<br>그건 절대로 성립할 수 없지…."""
msn_027640_0330#0,"""운명이란 건 다양한 필연과 우연이<br>겹쳐져서 만들어지는 거니까."""
msn_027640_0340#0,"""될 대로밖에 안 되는 거야."""
msn_027640_0350#0,"""나도 제페토와는<br>여러 가지 이야기를 하고 싶었어."""
msn_027640_0360#0,"""우리들의 가장 큰 적이었던 동시에<br>존경할 수 있는 상대이기도 했지."""
msn_027640_0370#0,"""이 감정은 역시 복잡하네…."""
msn_027640_0380#0,"""마지막에는 우리에게 힘을 빌려줘서<br>결과적으로 바엘에게 이길 수 있었어."""
msn_027640_0390#0,"""그래서 나는 이 M.A.R.S.를 통해<br>제페토와 서로 이해했다고 생각하기로 했어."""
msn_027640_0400#0,"""…그런 걸로 치면 되지 않을까?"""
msn_027640_0410#0,"""…응, 그렇네."""
