ssc_504070_0010#0,"""아, 왔구나."""
ssc_504070_0020#0,"""무슨 일 있어?"""
ssc_504070_0030#0,"""무슨 일이야?"""
ssc_504070_0040#0,"""아, 바엘 습격 당시 전투에 관해서<br>되돌아보고 있었어."""
ssc_504070_0050#0,"""스타레스의 군대는,<br>바엘의 출현과 동시에 할파 전역에 나타났어."""
ssc_504070_0060#0,"""여태껏 한 번도 본 적 없는 숫자였지…."""
ssc_504070_0070#0,"""\""지평선을 가득 채우지 않을까\""<br>라는 생각이 들 정도로."""
ssc_504070_0080#0,"""하지만 우리도 만반의 준비를 하고 있었어."""
ssc_504070_0090#0,"""각 리전의 아크스를 모아,<br>합동 훈련을 반복하고 있었어."""
ssc_504070_0100#0,"""그것이 그 전투에서 결실을 맺었어."""
ssc_504070_0110#0,"""다들 최전방에서<br>기민한 움직임을 보여줬어."""
ssc_504070_0120#0,"""나나 다른 리전의 리더들이<br>세세한 지시를 내리지 않았는데도 말이지."""
ssc_504070_0130#0,"""최전방에서 특히 눈부신 활약을 펼친 건,<br>아이나랑 마논이야."""
ssc_504070_0140#0,"""맞아.<br>두 사람은 정말 잘해줬어."""
ssc_504070_0150#0,"""아이나는 자신이 키운 훈련생들을 이끌고,<br>각지를 전전하고 있었어."""
ssc_504070_0160#0,"""마논도 전력의 빈틈을 찾아,<br>전선의 붕괴를 막고 있었어."""
ssc_504070_0170#0,"""덕분에<br>나도 센트럴 시티 방어에 전념할 수 있었어."""
ssc_504070_0180#0,"""두 사람에겐,<br>정말 고마움을 느끼고 있어."""
ssc_504070_0190#0,"""둘 다 강해졌어."""
ssc_504070_0200#0,"""앞으로 더 강해질 것 같아."""
ssc_504070_0210#0,"""응.<br>정말이야."""
ssc_504070_0220#0,"""그렇다면,<br>너도 가만 있을 순 없겠지."""
ssc_504070_0230#0,"""너희 세 사람은 앞으로의 아크스를<br>짊어지고 설 존재가 될 거야."""
ssc_504070_0240#0,"""하지만 거듭 말하지만,<br>너희들의 힘에만 의존해서는 안 돼."""
ssc_504070_0250#0,"""아크스 한 명 한 명이 강해지지 않으면,<br>언젠가는 버틸 수 없게 돼."""
ssc_504070_0260#0,"""싸움이 계속되는 이상…."""
ssc_504070_0270#0,"""지금 이걸 위한 체제를 만들고 있어."""
ssc_504070_0280#0,"""각 리전 간의 협력은<br>지난 싸움에서 성공 사례를 만들 수 있었어."""
ssc_504070_0290#0,"""앞으로는<br>보다 통합적인 운영을 목표로 하고 있어."""
ssc_504070_0300#0,"""우선 각자의 전술을 배우고,<br>서로 활용할 수 있도록 하는 것 부터."""
ssc_504070_0310#0,"""그리고 루시엘란의 협조를 얻어,<br>새로운 장비 개발도 진행하고 있어."""
ssc_504070_0320#0,"""물론 새로운 아크스 육성도 빼놓을 수 없지."""
ssc_504070_0330#0,"""아이나에게는 2기 훈련생들을<br>돌봐달라고 했어."""
ssc_504070_0340#0,"""언젠가는 한 명 한 명의 아크스가<br>너에 버금가는 힘을 얻는 날이 올지도 몰라."""
ssc_504070_0350#0,"""그랬으면 좋겠네."""
ssc_504070_0360#0,"""나 혼자서는 짐이 무거우니까."""
ssc_504070_0370#0,"""응.<br>기대해 줘."""
ssc_504070_0380#0,"""그 짐을 조금이라도 덜어주는 것이,<br>우리의 사명이야."""
ssc_504070_0390#0,"""아이나나 마논이 그랬듯이,<br>다들 네 등을 보며 한 걸음씩 성장하고 있어."""
ssc_504070_0400#0,"""너는<br>앞으로도 우리의 희망이 되어주길 바라."""
ssc_504070_0410#0,"""잘 부탁해, 가디언."""
