name_7024#0,"""구이덴"""
msn_005002_0001#0,"""잘 와 주었다.<br>나는 구이덴. 아크스 교관을 맡고 있다."""
msn_005002_0002#0,"""아크스란… 이 땅에서,<br>\""돌즈\""라는 적과 싸우는 전사들을 말한다."""
msn_005002_0003#0,"""너를 그 아크스의 일원으로 환영한다.<br>우리와 함께 돌즈와 싸워 줬으면 한다."""
msn_005002_0004#0,"""…하지만 너는 이제 막 이곳에 왔다.<br>아직 모르는 것도 많겠지."""
msn_005002_0005#0,"""내가 도와줄 테니,<br>아크스로서의 기본을 배워 두도록."""
msn_005002_0006#0,"""코쿤은 센트럴 시티 서쪽으로 나가면,<br>그 앞에 있다."""
msn_005002_0007#0,"""우선은… \""코쿤\""에서 실력을 시험해 보도록.<br>코쿤은 아크스의 훈련장 같은 곳이다."""
msn_005002_0008#0,"""거기서 기본적인 기술을 익힐 수 있을 것이다.<br>힘내도록."""
msn_005002_0101#0,"""코쿤의 위치는,<br>아까와 마찬가지로 좌표를 보내 두었다."""
msn_005002_0102#0,"""가이드 마커가 가리키는 곳으로 가도록."""
msn_005002_0103#0,"""어떤 곳인지는,<br>직접 가 보면 알게 될 것이다."""
msn_005002_0201#0,"""좋아, 돌아왔군."""
msn_005002_0202#0,"""그럼 다음으로 넘어가자."""
msn_005002_0203#0,"""이렇게 넓은 땅에서 종잡을 수 없는 적과 싸우는 건 힘든 일이다.<br>그래서 편리한 이동 수단을 알려 두겠다."""
msn_005002_0204#0,"""가이드 마커가 가리키는 곳에,<br>\""류커 디바이스\""라는 거대한 장치가 있다."""
msn_005002_0205#0,"""그리로 가도록."""
msn_005002_0301#0,"""왜 그러나? 류커 디바이스다.<br>가이드 마커 쪽으로 가라."""
msn_005002_0302#0,"""서두르지 말고 차근차근 해 보도록."""
