text01#0,"""テキストがまだないので仮です１"""
text03#0,"""テキストがまだないので仮です２"""
text02#0,"""テキストがまだないので仮です３"""
text10#0,"""Begin The Battle With [Profound Darkness]"""
text20#0,"""Continue To Prepare For Battle"""
ep5test01#0,"""***"""
ep5test02#0,"""***"""
11_voice_NPC_5438_100#0,"""ところでみんな、僕の姿を見て<br>何か言うことがあるんじゃないかな。"""
sq00_020#0,"""まあ、今はそういう事態でもないし<br>落ち着いてからでもいいけどさ。"""
11_voice_NPC_5438_100#1,"""【双子】の中から戻ってきたときといい<br>君はあれだね、突然戻ってくるのが<br>一つの能力と言えるのかもね。"""
sq01_020#0,"""演算とかでは計り知れないよ。<br>君という存在は、計算の外にある。<br>……だからこそ、見てて面白いんだ。"""
sq02_010#0,"""ルーサーがいたことよりも<br>まず、あの世界が存在すること<br>それ自体がおかしいんだ。"""
sq02_020#0,"""何があっても、誰がいても<br>驚くようなことじゃない。<br>というか、驚く場合じゃない、かな。"""
sq02_030#0,"""むしろ相手の性格がわかってるから<br>立ち回りやすかったりするかもね。<br>どこまで同じかはわからないけど。"""
sq03_010#0,"""今起こっているダーカーの強化は<br>時間遡行による歴史改変や<br>都合の良い歴史の選択、と同じこと。"""
sq03_020#0,"""ダーカーにとって都合の良い歴史に<br>ちょっとずつ書き換えられている。"""
11_voice_NPC_5438_104#0,"""劇的なものじゃない、けれども<br>永続的なものだからちょっとまずい。<br>通常任務の配分も考えないと。"""
sq04_010#0,"""【深遠なる闇】の反応……<br>【仮面】の反応も探ってはいるけど<br>今のところ、見つかってない。"""
11_voice_NPC_5438_104#1,"""いや、それらしき反応があるけど<br>そこかしこに広がっているというか<br>……とても、曖昧なんだ。"""
sq04_030#0,"""出たり消えたり……捕まえられない。<br>まるで、あちこちを行き来している<br>かのようで、さ。"""
sq05_010#0,"""……マトイの指摘はもっともだ。<br>今の【深遠なる闇】はフォトナーとの<br>繋がりははっきり言って薄い。"""
sq05_020#0,"""それなのに、オメガの中では<br>そういったことに傾向が依っている。<br>……何かあるようにしか思えない。"""
11_voice_NPC_5438_104#2,"""……データを持ち帰られるのなら<br>色々と分析できるんだけど<br>勝手が違う世界はこれだから困るね。"""
sq06_010#0,"""ルーサーとハリエットの秘密……<br>それもまた、フォトナー時代の何かを<br>なぞっていたりするんだろうか。"""
11_voice_NPC_5438_104#3,"""ルーサーの記録については<br>奴自身の手で全て破棄されているから<br>追いようがないのが、歯がゆいね。"""
11_voice_NPC_5438_105#0,"""失踪者はこっちの世界でも<br>引き続き捜索を行ってみる。<br>……可能性は、薄いだろうけど。"""
sq08_020#0,"""正直、君達の調査が頼りだ。<br>二人とも、気を付けて。"""
sq09_010#0,"""アイカはメディカルチェックの他<br>詳細まで調べてみたが、失踪前と<br>体の状態は何も変わりなかった。"""
11_voice_NPC_5438_104#4,"""ただ、本人の記憶もほとんど残らず<br>失踪したとも思っていないようだ。<br>おそらく、他の人もそうだろう。"""
sq09_030#0,"""早めに発見して、保護して欲しい。<br>よろしく頼むよ。"""
sq10_010#0,"""ブラックホールの拡大速度は<br>徐々にだが落ち着いてきている。<br>やってることは無駄じゃない。"""
11_voice_NPC_5438_104#5,"""ただ、止まってもいない。<br>つまりまだ何かが潜んでる。<br>……思った以上に、根深いみたいだ。"""
sq11_010#0,"""【双子】が出てくることは想定内。<br>ただ、ブラックホールの拡大速度は<br>そこまで変わりないのが意外だね。"""
sq11_020#0,"""ダークファルスの発生に応じて<br>速度が増しているという傾向が<br>見えていたんだけども……"""
11_voice_NPC_5438_104#6,"""……シオンだったら、これを<br>どう分析してみせるんだろう。<br>考えても仕方のないことだけど。"""
sq12_010#0,"""アークスの皆には、現状の説明を<br>ある程度隠匿している。<br>おかげで混乱はない。"""
11_voice_NPC_5438_104#7,"""全て伝えようかとも思ったんだけど<br>オメガの事は混乱しか招かないうえ<br>ブラックホールはどうしようもない。"""
sq12_030#0,"""下手に伝えて混乱状態にするよりは<br>一時的な情報規制を、ってことさ。<br>最終的にはきちんと説明するよ。"""
sq12_040#0,"""それよりもまずは、この状況を<br>なんとかしないといけない。<br>そうだろう？"""
sq13_010#0,"""終の女神シバについては情報収集中さ。<br>アウロラや、リサにも話を聞いている。"""
sq13_020#0,"""……リサに、というよりも<br>リサたちに、というのが<br>正しいのかもしれないけど。"""
sq13_030#0,"""情報がまとまったら連絡するよ。<br>それまではとりあえず<br>身体を休めて欲しい。"""
11_voice_NPC_5438_104#8,"""Harriet, huh... Now that was a surprise. Hard to believe she's been dormant inside Lisa for all of ARKS' history."""
ep6_sq00_02#0,"""She was the one sacrificed to contain the [Profound Darkness], and the other side of the coin that is Shiva. And the first Genesis Weapon..."""
11_voice_NPC_5438_105#1,"""Well, it's just what happened.<br>...This isn't the time to get distracted by worrying about it. We have military operations that need coordinating."""
11_voice_NPC_5438_104#9,"""Alma's resting right now. It turns out she was more exhausted than she thought."""
ep6_sq01_01#0,"""Alma's resting right now. It turns out she was more exhausted than she thought."""
