name_7245#0,"""เซียมมี่"""
ssn_019380_002_0010#0,"""ส-สวัสดี...! ขอบคุณที่มาหานะ"""
ssn_019380_002_0020#0,"""เรื่องที่อยากจะคุยก็คือ เอิ่ม...<br>สิ่งที่กำลังเกิดขึ้นทั่ว Halpha เอิ่ม ตอนนี้น่ะ"""
ssn_019380_002_0030#0,"""ศัตรูที่มี Season Symbol...<br>ล-และศัตรูตัวอื่นๆ ด้วย...<br>มีจำนวนเพิ่มมากขึ้นเลยล่ะ"""
ssn_019380_002_0040#0,"""อยากจะ เอิ่ม... รวบรวมข้อมูลจากพวกมันน่ะ...<br>เพื่อ เอิ่ม การพัฒนา... อุปกรณ์... ในอนาคต"""
ssn_019380_002_0050#0,"""ก็เลยสงสัยว่า... จะช่วยหน่อยอีกได้ไหม?"""
ssn_019380_002_0060#0,"""...โอ๊ะ... ส-สีหน้าแบบนั้น เหมือนกับว่า... ตกลงสินะ?"""
ssn_019380_002_0070#0,"""...เข้าใจถูกใช่ไหม?"""
ssn_019380_002_0080#0,"""...ขอบคุณมากๆ เลยนะ เอิ่ม... โชคดีนะ!"""
ssn_019380_002_0900#0,"""ก-การรวบรวมข้อมูล เอิ่ม... เป็นยังไงบ้าง?"""
ssn_019380_002_0910#0,"""ม-มีอะไรให้ฉันช่วยไหม...?"""
npc_menu_0010#0,"""แลกเปลี่ยน Seasonal Points (ถึง $(0))"""
npc_menu_0020#0,"""แลกเปลี่ยน New Year's '24 Seasonal Points (ถึง $(0))"""
npc_menu_0030#0,"""แลกเปลี่ยนแร่ (ถึง $(0))"""
npc_menu_0040#0,"""รีไซเคิลไอเทม (ถึง $(0))"""
npc_menu_0050#0,"""ถามเกี่ยวกับ Seasonal Event"""
npc_menu_0060#0,"""ปิดเมนู"""
npc_menu_1010#0,"""เกี่ยวกับ Seasonal Events"""
npc_menu_1020#0,"""เกี่ยวกับ Seasonal Enemies"""
npc_menu_1030#0,"""เกี่ยวกับ Mischief Symbols"""
npc_menu_1040#0,"""เกี่ยวกับ Seasonal Regional Mags"""
npc_menu_1050#0,"""เกี่ยวกับ Randomite"""
npc_menu_2000#0,"""ช่างเถอะ"""
