msc_010060_0010#0,"""ยังมีอีกเหรอเนี่ย?!"""
msc_010060_0020#0,"""ย้ากกกก!"""
msc_010060_0030#0,"""คุณพ่อ?!"""
msc_010060_5010#0,"""ฮึบ!"""
msc_010060_5020#0,"""ย้าก!"""
msc_010060_0040#0,"""ฟู่... โชคดีนะที่สังหรณ์ใจเลยตามมาดูแถวนี้"""
msc_010060_0050#0,"""ไอน่า, มาน่อน--พวกลูกปลอดภัยไหม?"""
msc_010060_0060#0,"""ดีแล้วล่ะ ...แล้วเธอล่ะ?"""
msc_010060_0070#0,"""ฉันชื่อ กาโรอา ยินดีที่ได้รู้จัก"""
msc_010060_0080#0,"""เพิ่งตกลงมาจากฟ้าแบบนั้น คงยังมึนๆ จับต้นชนปลายไม่ถูกล่ะสิ"""
msc_010060_0090#0,"""ดูแล้วคงไม่รู้เรื่องอะไรเลยสักอย่าง ไม่เหมือนมาน่อนสินะ"""
msc_010060_0100#0,"""...กะไว้แล้วเชียว"""
msc_010060_0110#0,"""เอาเถอะ งั้นกลับไปตั้งหลักที่หมู่บ้านกันก่อน ไอน่า, มาน่อน เก็บพวก Resta Sign เสร็จหรือยัง?"""
msc_010060_0120#0,"""อ๊ะ จริงด้วย! ขาดอีกแค่นิดเดียวเองค่ะ"""
