Kirara_01_10#0,"""ん？\u3000どうしたんだよ？<br>ふーん。パーティー参加希望、なあ……"""
11_voice_NPC_5052_104#0,"""おたくも知ってると思うけど<br>オレほどのアークスになると<br>結構忙しいんだぜ？"""
Kirara_01_30#0,"""それに、そういうのはもっと<br>面倒見のいいヤツがいいと思うぜ！<br>おたくとかな！"""
11_voice_NPC_5052_102#0,"""What is trick-or-treat? All these sweets, hahahahehe... I'm a man! I've lived through tough times!"""
sierra_020#0,"""What do you want from me, killer? Huh, you want me to eat this? Sweet! Hey... Doesn't this look kinda dangerous?"""
11_voice_NPC_5052_106#0,"""Huh, some girls want to hear what I think? Well, in that case...<br>I am a man, after all. I'll do it...!<br>...Gah, whoa! N-no way!"""
sierra_040#0,"""Haa... haa... This is serious stuff. My head's poundin', I'm seein' stars and there's a taste like iron in my mouth..."""
11_voice_NPC_5052_107#0,"""W-wait, you have another one...?<br>This gentle taste, this explosion of flavor! It's movin' me to tears, seriously..."""
11_voice_NPC_5052_106#1,"""Gotta say, killer, ya don't exactly seem like the reliable type. What are ya even doin' in ARKS?"""
11_voice_NPC_5052_102#1,"""I'd say ya know how to handle yourself! Course, if I were to show ya my hidden power, I'd knock ya off your feet easy as that!"""
11_voice_NPC_5052_102#2,"""I'd say ya know how to handle yourself! Course, if I were to show ya my hidden power, I'd knock ya off your feet easy as that!"""
11_voice_NPC_5052_100#0,"""When you're as talented as I am, it's ya responsibility to be honest and admit when you're impressed!"""
11_voice_NPC_5052_100#1,"""When you're as talented as I am, it's ya responsibility to be honest and admit when you're impressed!"""
11_voice_NPC_5052_100#2,"""When you're as talented as I am, it's ya responsibility to be honest and admit when you're impressed!"""
11_voice_NPC_5052_101#0,"""Hey, hey. You've been doin' pretty well recently, huh? Tell ya what, I'll let ya off on the bowin' and scrapin' from now on."""
11_voice_NPC_5052_101#1,"""Hey, hey. You've been doin' pretty well recently, huh? Tell ya what, I'll let ya off on the bowin' and scrapin' from now on."""
11_voice_NPC_5052_101#2,"""Hey, hey. You've been doin' pretty well recently, huh? Tell ya what, I'll let ya off on the bowin' and scrapin' from now on."""
11_voice_NPC_5052_101#3,"""Hey, hey. You've been doin' pretty well recently, huh? Tell ya what, I'll let ya off on the bowin' and scrapin' from now on."""
11_voice_NPC_5052_101#4,"""Hey, hey. You've been doin' pretty well recently, huh? Tell ya what, I'll let ya off on the bowin' and scrapin' from now on."""
11_voice_NPC_5052_101#5,"""I wouldn't mind if ya told people that ya wound up the way you are 'cause I was there for you. 'K?"""
11_voice_NPC_5052_101#6,"""I wouldn't mind if ya told people that ya wound up the way you are 'cause I was there for you. 'K?"""
11_voice_NPC_5052_101#7,"""I wouldn't mind if ya told people that ya wound up the way you are 'cause I was there for you. 'K?"""
11_voice_NPC_5052_101#8,"""You seem like you're playin' ya part! All thanks to me, I assume?"""
11_voice_NPC_5052_101#9,"""You're keepin' busy out there! Course, I knew ya would be!"""
11_voice_NPC_5052_100#3,"""We're in real trouble here! Hey, don't go doin' anythin' crazy!"""
11_voice_NPC_5052_100#4,"""You've done it again, killer! That's exactly the kinda thing I expect to see from ya!"""
11_voice_NPC_5052_100#5,"""Yo, good to see ya back! Course, I knew a natural-born killer like you wasn't goin' anywhere for long!"""
11_voice_NPC_5052_100#6,"""Yo! Work's really pickin' up, huh? If ya get any free time, swing by and give my requests a look!"""
11_voice_NPC_5052_100#7,"""Yo! Work's really pickin' up, huh? If ya get any free time, swing by and give my requests a look!"""
11_voice_NPC_5052_107#1,"""What the heck's up with that Goddess of Demise?! Beatin' her seems like an even taller order than our usual, seriously!"""
11_voice_NPC_5052_109#0,"""What the heck's up with that Goddess of Demise?! It might not mean much comin' from me, but beatin' her seems like an even taller order than our usual, seriously!"""
11_voice_NPC_5052_107#2,"""You gotta be kiddin'...<br>If we're throwin' away the Mothership, we must be in real trouble!"""
11_voice_NPC_5052_105#0,"""What are we gonna do, what are we gonna do?! How are we gonna manage with Xiao gone?!"""
11_voice_NPC_5052_100#8,"""Hey, Xiao's back! I was worried for a sec there, but I guess it all worked out for the best..."""
ep6_sq03_02_01_01#0,"""The way everyone's been runnin' around lately, this has gotta be really serious!"""
11_voice_NPC_5052_100#9,"""You're dealing with it OK, aren'cha killer?! Then I'll do my best to keep up with ya!"""
text01#0,"""Hey! Great job out there! Looks like ya took care of business once and for all!"""
11_voice_NPC_5052_101#10,"""Sure, I was a little bit worried about how ya were gonna handle Shiva, but you went out there and ya proved ya had it under control all along!"""
text03#0,"""If it weren't for you, killer, chances are we wouldn't even be here to have this little conversation. We all owe ya one, big time!"""
