Title#0,"""Защита базы: Вторжение"""
Explanation#0,"""アークス各員に緊急連絡。<br>惑星リリーパの採掘基地周辺に<br>多数のダーカーの反応を確認した。<br>新たに設置された防護壁によって<br>全基地への同時襲撃は回避できるが<br>防護壁の耐久力にも限度がある。<br>各員、ダーカーの侵入を阻止、撃退せよ。<br>――――――――――――――――――――<br>Зачищено 6 Волн<br>Поражение: все базы были уничтожены"""
SimpleExplanation#0,"""Защитите горнодобывающую базу!"""
Wave1_Talk#0,"""Даркеры появились! Не ясно<br>какую базу они будут атаковать.<br>Работайте слажено,<br>чтобы защитить базы!"""
Wave2_Talk#0,"""Вот и следующая атака Даркеров!<br>Ребята, работайте слажено,<br>чтобы защитить базы!"""
Wave3_Talk#0,"""Не-неопознаные показания!<br>Я думаю, что даркеры начали<br>возводить большие пушки!<br>Найдите их и уничтожьте!"""
Wave4_Talk#0,"""Уааа! Мы получаем так много<br>огромных показаний! Пожалуйста,<br>будьте осторожны!"""
Wave5_Talk#0,"""Уааа, что за невероятные<br>показания! Скоро объявится<br>огромный даркер!"""
Wave6_Talk#0,"""Это, кажется, последняя.<br>Ещё немного!<br>Продолжайте защищать базы!"""
NpcComMsg1#0,"""Мы скоро начнём! Основываясь<br>на этих показаниях скорее всего<br>даркеры будут атаковать<br>в несколько волн.<br>Будьте осторожны!"""
NpcComMsg2#0,"""Вы сможете укрепить защиту,<br>используя энергию выпавших<br>кристалов. Удачи!"""
a1#0,"""Завершите определённый частный заказ"""
a2#0,"""Завершите определённый частный заказ"""
a3#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
a4#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
