name_7423#0,"""Baffin"""
ssn_014520_0001#0,"""Huh, I don't recognize you. Oh, you came here from Aelio?"""
ssn_014520_0002#0,"""You look pretty strong. Maybe you can strut your stuff sometime."""
ssn_014520_0101#0,"""Have you been keeping up your training?"""
ssn_014520_0102#0,"""Don't think you can relax just because you took down Lenus Retem."""
ssn_014520_0103#0,"""Push yourself to the very edge!"""
ssn_014520_0201#0,"""Your Class doesn't matter. You just have to push yourself to the limit!"""
ssn_014520_0202#0,"""Come back and see me when you're done getting swole. I'll give you a full appraisal!"""
ssn_014520_0301#0,"""Oh, really...? Well come on back if you ever change your mind."""
ssn_014520_0401#0,"""Oh, you're back! Let's see..."""
ssn_014520_0402#0,"""Ooh, looks great! I can tell just from looking. You've gotten much stronger."""
ssn_014520_0403#0,"""But you'll never grow if you stop setting goals. You're gonna blast past those limits someday!"""
ssn_014520_0404#0,"""Just keep concentrating on growing. You can do it!"""
ssn_014520_0501#0,"""Ooh, looks great! I can tell just from looking. You've gotten much stronger."""
ssn_014520_0502#0,"""But you'll never grow if you stop setting goals. You're gonna blast past those limits someday!"""
ssn_014520_0503#0,"""Just keep concentrating on growing. You can do it!"""
