name_7002#0,"""아이나"""
name_7022#0,"""카누이"""
name_7034#0,"""루시아"""
msn_041150_0010#0,"""어서 오세요.<br>크로포드 군에게 여러분이 온다는 연락을 받았습니다."""
msn_041150_0020#0,"""그쪽에 계신 분이 루시아 씨… 맞으신가요?<br>처음 뵙겠습니다. 저는 스티아 선발대의 부관 카누이라고 합니다."""
msn_041150_0030#0,"""이 스티아의 땅이<br>당신의 기억을 찾는 데 도움이 되기를 바랍니다."""
msn_041150_0040#0,"""응… 고마워."""
msn_041150_0050#0,"""그렌을 만나러 왔다."""
msn_041150_0060#0,"""카누이를 만나러 왔다."""
msn_041150_0070#0,"""죄송하지만 대장님은 지금 정찰을 나가셨습니다.<br>최근 돌즈의 활동이 활발해져 상황을 확인하고 싶다고 하셨죠."""
msn_041150_0080#0,"""후후, 그렇게 말씀해 주시니 영광입니다만 사실은 그렌 대장님을 만나러 오셨죠?"""
msn_041150_0090#0,"""대장님은 지금 정찰 임무 중입니다.<br>돌즈의 활동이 활발해져 상황을 확인하고 오겠다고 하셨죠."""
msn_041150_0100#0,"""괜찮으시다면 안내해 드릴까요?<br>대장님이 향한 곳까지 그리 멀지 않으니까요."""
msn_041150_0110#0,"""고마워! 카누이와 함께라면 든든해."""
