name_7002#0,"""아이나"""
name_7015#0,"""메리"""
name_7034#0,"""루시아"""
msn_041120_0010#0,"""와 줬구나, <%me>.<br>아이나와 마논도."""
msn_041120_0020#0,"""네가 루시아구나?<br>나는 메리야. 잘 부탁해."""
msn_041120_0030#0,"""…응. 잘 부탁해."""
msn_041120_0040#0,"""오랜만이야, 메리. 오늘은 다른 사람들은 없어?"""
msn_041120_0050#0,"""응. 오빠들은 저마다 할 일이 있어서 나갔어."""
msn_041120_0060#0,"""이르마도 신경 쓰이는 게 있다고 하면서<br>며칠 전부터 밖에 나간 채로 돌아오지 않았어."""
msn_041120_0070#0,"""미안해. 모처럼 와 줬는데."""
msn_041120_0080#0,"""신경 쓰지 마."""
msn_041120_0090#0,"""메리를 만난 것만으로도 괜찮아."""
msn_041120_0100#0,"""그렇게 말해 주니 다행이야.<br>고마워, <%me>."""
msn_041120_0110#0,"""후후, 고마워.<br>나도 오랜만에 너희와 만나서 좋았어."""
msn_041120_0120#0,"""있잖아, 너… 메리라고 했지.<br>하나 물어봐도 돼?"""
msn_041120_0130#0,"""응? 뭘 물어보려고?"""
msn_041120_0140#0,"""…이렇게 아름답지만 조금 쓸쓸한 곳에서<br>왜 너는 혼자 이 집에 있어?"""
msn_041120_0150#0,"""오빠들은 모두 밖에 나가 있잖아? 너도…<br>어딘가 먼 곳으로 떠나 버리고 싶다고 생각한 적은 없어?"""
msn_041120_0160#0,"""글쎄….<br>듣고 보니 별로 생각해 본 적이 없는 것 같아."""
msn_041120_0170#0,"""아마 여기가<br>우리 가족이 태어나고 자란 곳이기 때문이 아닐까."""
msn_041120_0180#0,"""모두 돌아오고 싶을 때 돌아올 수 있도록 해 두고 싶어.<br>그래서 자연스럽게 내가 이 집을 지켜야겠다고 생각했어."""
msn_041120_0190#0,"""…돌아올 수 있는 곳…."""
msn_041120_0200#0,"""어때? 이 대답이 도움이 됐어?"""
msn_041120_0210#0,"""응. 아직 잘 모르겠지만…."""
msn_041120_0220#0,"""그런 곳이 있다는 건 조금… 좋은 것 같아."""
