name_7010#0,"""나데레프"""
name_7034#0,"""루시아"""
msn_041070_0010#0,"""크로포드에게 이야기는 들었다.<br>이 아이가 기억을 찾고 있다는 소녀로군."""
msn_041070_0020#0,"""나는 나데레프.<br>이 리템 시티의 리더를 맡고 있다."""
msn_041070_0030#0,"""…루시아야. 잘 부탁해."""
msn_041070_0040#0,"""루시아. 네 일에 관해서는 크로포드에게 받은 정보를 바탕으로<br>도시 사람들에게도 본 적이 없는지 물어봤다."""
msn_041070_0050#0,"""…하지만 아쉽게도 모두 너를 본 적이 없다고 하더군."""
msn_041070_0060#0,"""나도 리템 사람들의 얼굴은 거의 알고 있지만 역시 너는 낯설다.<br>모처럼 여기까지 와 줬는데 힘이 되지 못해 미안하군."""
msn_041070_0070#0,"""그렇구나….<br>그렇게 쉽게 찾지는 못할 거라고 각오했지만."""
msn_041070_0080#0,"""내가 텅 비어 있다는 사실을 다시 들이대는 것 같아서…<br>역시 조금 힘드네."""
msn_041070_0090#0,"""…텅 비었다라."""
msn_041070_0100#0,"""너희, 잠시 어울려 주겠나?<br>그녀에게 보여 주고 싶은 곳이 있어."""
msn_041070_0110#0,"""준비가 되면 남부 리템의 해안으로 와 줘."""
