name_7002#0,"""아이나"""
name_7022#0,"""카누이"""
name_7034#0,"""루시아"""
msn_041160_0010#0,"""여기는 뭐야?<br>여러 가지가 움직이고 있는데…."""
msn_041160_0020#0,"""이곳은 우리의 적인 돌즈의 제조 시설입니다."""
msn_041160_0030#0,"""…지금도 이곳은 가동되며 무수한 돌즈를 계속 만들어 내고 있습니다."""
msn_041160_0040#0,"""왜 부수지 않아?<br>그런 시설을 내버려 두면 위험하잖아."""
msn_041160_0050#0,"""사실은 저희도 그러고 싶습니다. 하지만… 이곳은 할파 전체를 지탱하는<br>에너지 플랜트와 일체화되어 있습니다."""
msn_041160_0060#0,"""파괴하면 할파 자체의 라이프라인이 정지하여<br>막대한 피해가 발생할 수도 있습니다."""
msn_041160_0070#0,"""그럼… 너희는 그 돌즈라는 녀석들과<br>계속 싸워야 한다는 거야?"""
msn_041160_0080#0,"""네, 지금은 계속 싸우는 수밖에 없습니다. 하지만 우리는 포기하지 않았습니다.<br>끝낼 방법을 할파의 모두와 함께 찾고 있습니다."""
msn_041160_0090#0,"""자, 대장님은 이 앞에 계십니다. 안내하겠습니다."""
