name_7010#0,"""나데레프"""
name_7034#0,"""루시아"""
msn_041090_0010#0,"""왔군. 이곳은 예전에 내가 자주 찾아오던 곳이다."""
msn_041090_0020#0,"""막 리템의 리더가 되었던 시절… 방황하고 멈춰 서면서도<br>앞으로 나아가야만 했던 그때 말이야."""
msn_041090_0030#0,"""아름다운 곳이네….<br>하지만 바람이 강해서 어디론가 날아갈 것 같아."""
msn_041090_0040#0,"""그렇지. 이 바람은 많은 것을 실어 나른다.<br>방황도, 심지어 아픔까지도."""
msn_041090_0050#0,"""네 말을 듣고 떠올랐다.<br>나도 예전에 스스로를 \""텅 비었다\""고 생각한 적이 있었지."""
msn_041090_0060#0,"""텅 비었다고…? 당신도?"""
msn_041090_0070#0,"""그래. 어린 시절의 나는 리템의 리더였던 어머니 밑에서 자라며<br>나에게도 어머니처럼 사람들을 이끄는 \""노래\""의 힘이 있다고 믿었다."""
msn_041090_0080#0,"""…하지만 내가 리더의 자리에 올랐을 때<br>일족이 대대로 지녀 온 그 힘이 나에게는 없다는 걸 알게 됐지."""
msn_041090_0090#0,"""내가 갑자기 텅 비어 버린 것처럼 느껴졌어.<br>리더라고 자칭해도 되는지조차 고민했지."""
msn_041090_0100#0,"""그렇게 생각하면서도…<br>어떻게 다시 앞으로 나아갈 수 있었어?"""
msn_041090_0110#0,"""물론 곧바로 답을 얻은 건 아니다. 하지만 어머니와 같아질 수 없어도<br>나에게는 나만의 길이 있을 거라고 믿으며 필사적으로 찾아 나섰지."""
msn_041090_0120#0,"""힘을 기르고 사람들의 말에 귀를 기울이며… 그 일을 거듭하다 보니<br>어느새 나를 의지해 주는 사람들이 늘어났다."""
msn_041090_0130#0,"""정신을 차리고 보니 나는 리더로서<br>당당하게 모두의 앞에 설 수 있게 되어 있었어."""
msn_041090_0140#0,"""나데레프는 제대로 앞으로 나아왔어."""
msn_041090_0150#0,"""모두 나데레프를 믿고 있어."""
msn_041090_0160#0,"""훗… 그렇게 보인다면 다행이군."""
msn_041090_0170#0,"""그리고 너희와 만나 함께 싸우면서<br>내 안에 잠든 힘도 깨달을 수 있었다. 고맙게 생각한다."""
msn_041090_0180#0,"""고마워.<br>그렇게 말해 주니 조금은 마음이 놓이네."""
msn_041090_0190#0,"""그때 너희가 힘을 빌려준 덕분에 내면의 힘을 깨닫고<br>사람들을 구할 수 있었다. 고맙다."""
msn_041090_0200#0,"""…루시아. 기억을 되찾을 수 있다면 그것도 나쁜 일은 아니야.<br>분명 그것도 네 소중한 소망이겠지."""
msn_041090_0210#0,"""하지만 소중한 것이<br>잃어버린 과거에만 있다고 나는 생각하지 않는다."""
msn_041090_0220#0,"""아무리 작은 것이라도 지금 네 안에 있는 것도 분명 네 일부야.<br>그리고 네 곁에는 함께 걸어 줄 사람들이 있어."""
msn_041090_0230#0,"""…그렇구나.<br>지금의 나에게도 있는 것…."""
msn_041090_0240#0,"""앞으로 초조해지거나 멈춰 설 때도 있겠지.<br>그럴 때는 지금 내 이야기를 떠올려 줘."""
msn_041090_0250#0,"""너희가 가는 앞길에 좋은 바람이 불기를.<br>사람들과 함께 그렇게 기도하겠다."""
