name_7002#0,"""아이나"""
name_7034#0,"""루시아"""
name_7004#0,"""크로포드"""
name_7001#0,"""마논"""
msn_041180_0010#0,"""각 리전을 돌아봤지만 기억의 단서는 찾지 못했네.<br>…루시아, 괜찮아?"""
msn_041180_0020#0,"""그래도 헛된 일은 아니었다고 생각해. 기억은 여전히 비어 있지만…<br>적어도 지금은 혼자가 아니라고 생각할 수 있으니까."""
msn_041180_0030#0,"""루시아… 응, 함께 힘내자!"""
msn_041180_0040#0,"""이야기 중에 미안해.<br>너희에게 급히 알릴 일이 있어."""
msn_041180_0050#0,"""크로포드! 무슨 일이야?"""
msn_041180_0060#0,"""크바리스에서 조사하던 이르마에게서<br>어떤 \""이변\""에 관한 긴급 보고가 도착했어."""
msn_041180_0070#0,"""내용은 이곳에 도착하면 전할게.<br>미안하지만 최대한 빨리 와 줘. 부탁해."""
msn_041180_0080#0,"""이변이라니, 무슨 일일까?"""
msn_041180_0090#0,"""보통 일은 아닌 것 같아. 지령실로 서두르자."""
