name_7002#0,"""아이나"""
name_7001#0,"""마논"""
name_7034#0,"""루시아"""
msn_041040_0010#0,"""루시아, 여기 있었구나!<br>갑자기 뛰쳐나가서 걱정했어."""
msn_041040_0020#0,"""…그냥 내버려 둬도 됐는데."""
msn_041040_0030#0,"""하지만 마음 한편으로는<br>누군가 찾아 주기를 바랐던 거지?"""
msn_041040_0040#0,"""정말 아무에게도 발견되고 싶지 않았다면 더 멀리 갔을 거야.<br>…나도 예전에는 그랬으니까."""
msn_041040_0050#0,"""그럴 리가…!<br>…아니, 그럴지도 모르겠네."""
msn_041040_0060#0,"""이 도시에 왔을 때 조금 기대했어.<br>이렇게 사람이 많으면 기억의 단서를 찾을 수 있을지도 모른다고."""
msn_041040_0070#0,"""그런데… 도시의 풍경을 봐도 오가는 사람들을 봐도<br>아무것도 기억나지 않았어."""
msn_041040_0080#0,"""루시아…."""
msn_041040_0090#0,"""기억해 내야 해.<br>기억을 잃기 전에 그곳에서 내가 무엇을 하려 했는지."""
msn_041040_0100#0,"""그게 \""사명\""이라면 완수해야 해.<br>그런데… 이런 곳에서 멈춰 있어야 한다니!"""
msn_041040_0110#0,"""함께 찾으러 가자."""
msn_041040_0120#0,"""혼자 애쓰지 않아도 돼."""
msn_041040_0130#0,"""…뭐야, 그게."""
msn_041040_0140#0,"""그런 말을 들으면 또 기대하게 되잖아…."""
msn_041040_0150#0,"""…계속 혼자 애쓰는 수밖에 없다고 생각했는데."""
msn_041040_0160#0,"""그런 말을 들으면 이제 고집부릴 수도 없잖아…."""
msn_041040_0170#0,"""<%me>의 말대로<br>우리도 루시아에게 힘이 되어 주고 싶어."""
msn_041040_0180#0,"""이 도시에서 단서를 찾지 못해도 괜찮잖아.<br>다른 리전에도 가 보자! 우리와 함께 말이야!"""
msn_041040_0190#0,"""크로포드도 말했어. 지금은 행동을 제한하지만<br>네 정체가 밝혀지면 판단을 바꿀 수도 있다고."""
msn_041040_0200#0,"""길은 분명 열릴 거야. 함께 한 걸음씩 나아가자."""
msn_041040_0210#0,"""…뭐야. 다들 당연하다는 듯이 데리러 오고.<br>같이 가자면서 손을 끌고."""
msn_041040_0220#0,"""마음대로 정하지 말라고 하고 싶은데….<br>그 말도 못 하게 됐잖아."""
msn_041040_0230#0,"""그래도… 고마워. 마음이 조금은 가벼워진 것 같아."""
msn_041040_0240#0,"""조금만 더 힘내 볼게.<br>너희와 함께 말이야."""
