name_7002#0,"""아이나"""
name_7001#0,"""마논"""
name_7016#0,"""그렌"""
name_7022#0,"""카누이"""
name_7034#0,"""루시아"""
msn_041170_0010#0,"""대장님. <%me> 님 일행을<br>모시고 왔습니다."""
msn_041170_0020#0,"""카누이, 수고했다.<br>오랜만이군, 너희들."""
msn_041170_0030#0,"""그리고… 크로포드에게 이야기는 들었다.<br>네가 루시아인가."""
msn_041170_0040#0,"""그래. 네가 그렌이구나."""
msn_041170_0050#0,"""그래. 기억을 찾아 각지를 돌아다니고 있다더군.<br>성과는 어떤가."""
msn_041170_0060#0,"""…아니. 아직 아무것도 기억해 내지 못했어."""
msn_041170_0070#0,"""그런가…. 아쉽게 됐군."""
msn_041170_0080#0,"""하지만 여러 사람의 이야기를 들으며 조금 깨달은 것도 있어."""
msn_041170_0090#0,"""어느 곳에서든 만난 사람들은 모두<br>자신에게 소중한 것을 지키려고 지금을 살아가고 있었어."""
msn_041170_0100#0,"""…지키기 위해서라. 그렇군.<br>나도 소중한 것을 지키려고 여기서 필사적으로 싸워 왔다."""
msn_041170_0110#0,"""고통도 상실도 지긋지긋할 만큼 겪었지만<br>그래도 지키고 싶다고 생각했지."""
msn_041170_0120#0,"""그 각오로 버텨 온 시간이 지금의 나를 만든 것이겠지."""
msn_041170_0130#0,"""그렇습니다. 저도, 부하들도…<br>아니, 할파에 사는 사람들은 모두 그럴지도 모릅니다."""
msn_041170_0140#0,"""나는 아직 잃어버린 기억을 찾는 데 급급해서<br>그런 소중한 것이 정말 생길지조차 모르겠어."""
msn_041170_0150#0,"""하지만… 만약 무언가를 \""지키고 싶다\""고 생각할 때가 온다면…<br>그때의 나는 지금과 다른 내가 될 수 있지 않을까 싶어."""
msn_041170_0160#0,"""그래, 그렇겠지. 하지만 크로포드에게 들은 이야기로 보아<br>너는 이미 변하기 시작한 것 같군."""
msn_041170_0170#0,"""맞아! 나도 그렇게 생각해!"""
msn_041170_0180#0,"""왜냐하면 이제 고맙다는 말도 솔직하게 할 수 있게 됐고<br>그리고… 음, 그 밖에도 여러 가지로!"""
msn_041170_0190#0,"""자, 잠깐만, 그만해 아이나!<br>그런 건 큰 소리로 말하지 말라니까!"""
msn_041170_0200#0,"""후후. 그렇게 부끄러워하는 것도 변화 중 하나일까?"""
msn_041170_0210#0,"""정말, 마논까지…!"""
msn_041170_0220#0,"""후후… 여러분을 보고 있으면<br>예전의 대장님과 크로포드 군의 모습이 떠오릅니다."""
msn_041170_0230#0,"""언제든 다시 스티아에 와 주세요.<br>환영하겠습니다."""
