name_7002#0,"""아이나"""
name_7001#0,"""마논"""
name_7004#0,"""크로포드"""
name_7013#0,"""이르마"""
msn_041200_0010#0,"""…미안해. 녀석을 놓쳤어."""
msn_041200_0020#0,"""크로포드의 판단은 틀리지 않았어.<br>덕분에 아무도 다치지 않았으니까."""
msn_041200_0030#0,"""응. 여기서 충돌했다면 최악의 결과를 낳을 수도 있었어.<br>나라도 네 입장이었다면 같은 선택을 했을 거야."""
msn_041200_0040#0,"""다들 들리나?<br>저 녀석이 조사대를 습격했다는 스타레스인가… 성가신 상대 같네."""
msn_041200_0050#0,"""그 녀석의 말을 단서로 조사해 보니 크바리스의 디멘션 리퍼에서<br>어브덕션 홀과 같은 종류의 에너지 반응을 감지했어."""
msn_041200_0060#0,"""그곳을 통과한 뒤의 영역에 녀석이 말한 탑이 있을 거야."""
msn_041200_0070#0,"""알았어. 고마워, 이르마."""
msn_041200_0080#0,"""…다시 한번 너희에게 부탁할게.<br>크바리스와 이어진 얼터 렐름으로 가서 탑을 찾아 줘."""
msn_041200_0090#0,"""어브덕션 홀을 멈출 단서를 잡을 수 있는 건 너희뿐이야.<br>잘 부탁해, 가디언."""
msn_041200_0100#0,"""응, 맡겨 줘."""
msn_041200_0110#0,"""그리고 어브덕션 홀은 에어리오와 크바리스 경계의 해역에 있어.<br>크바리스로 가는 도중에 들러 줘."""
msn_041200_0120#0,"""앞으로 우리가 마주해야 할 것을<br>직접 눈으로 확인해 두는 거야."""
msn_041200_0130#0,"""응… 알았어."""
msn_041200_0140#0,"""잘 부탁할게.<br><%me>."""
