name_7661#0,"""Башиния"""
ssq_013021_0010#0,"""Хорошо поработал(а). Похоже, что тебе<br>благополучно удалось справиться с Башней.<br>Это потрясающе."""
ssq_013021_0020#0,"""Башни более эффективно тренируют, чем Коконы,<br>так что, если обнаружишь ещё такие,<br>обязательно попробуй их."""
ssq_013021_0030#0,"""Но для начала, не забудь повысить<br>свою Боевую Мощь."""
ssq_013021_0035#0,"""А, кстати. По поводу Боевой Мощи..."""
ssq_013021_0040#0,"""Если у тебя будет не хватать Боевой Мощи,<br>ты не сможешь принять участие в некоторых<br>экстренных операциях."""
ssq_013021_0050#0,"""Думаю, хороша идея улучшения Боевой Мощи<br>в случае опасности. Тогда, пожалуйста,<br>продолжай делать всё возможное."""
ssq_013021_0201#0,"""Если так подумать, разве ты уже<br>не прошёл(ла) Башню?"""
ssq_013021_0202#0,"""Тебе следовало обратиться ко мне раньше,<br>теперь объяснять это будет неловко."""
ssq_013021_0203#0,"""Похоже, что ты набрался(ась) опыта<br>и Боевая Мощь стала выше."""
ssq_013021_0213#0,"""А, кстати. По поводу Боевой Мощи..."""
ssq_013021_0204#0,"""Если у тебя будет не хватать Боевой Мощи,<br>ты не сможешь принять участие в некоторых<br>экстренных операциях."""
ssq_013021_0205#0,"""Думаю, хороша идея улучшения Боевой Мощи<br>в случае опасности. Тогда, пожалуйста,<br>продолжай делать всё возможное."""
