Title#0,"""Armageddon Incarnate"""
Explanation#0,"""We must move, <%me>.<br>Ardem must be stopped<br>from transforming the world.<br>With that thought in mind,<br>head toward the Earth Guide HQ.<br>The Original Man waits where the Phantoms gather.<br>――――――――――――――――――――<br>Failure: Retire after being incapacitated."""
StoryExplanation#0,"""<%me>達は動く。<br>世界変革を成し遂げようとするアーデムを止める。<br>その思いを胸に、向かうはアースガイド本部奥底。<br>幻創の集う場所にて、始まりの人は待つ。"""
SimpleExplanation#0,"""Prevent the world transformation!"""
Area0S#0,"""Earth Guide Underground HQ"""
Area0L#0,"""Planet Earth: Earth Guide Underground HQ Area 1"""
Area1S#0,"""Earth Guide Underground HQ"""
Area1L#0,"""Planet Earth: Earth Guide Underground HQ Area 2"""
Area2S#0,"""Earth Guide Underground HQ"""
Area2L#0,"""Planet Earth: Earth Guide Underground HQ Area 3"""
Area3S#0,"""Earth Guide Underground HQ"""
Area3L#0,"""Planet Earth: Earth Guide Underground HQ Area 4"""
Area4S#0,"""Phantom Garden"""
Area4L#0,"""Planet Earth: Phantom Garden"""
QuestInfoAreaName#0,"""Earth Guide Underground HQ"""
