Title#0,"""Special Training: Episode 3"""
Explanation#0,"""This is an excercise VR Training<br>quest. Aim for the final area<br>within the time limit.<br>This will put you through various<br>events encountered by ARKS, including<br>the appearance of the [Profound Darkness].<br>Plan your party's abilities carefully.<br>――――――――――――――――――――<br>Time Limit: 15 minutes<br>Maximum damage cap/999999"""
SimpleExplanation#0,"""Defeat all the enemies that appear!"""
NpcComMsg1#0,"""We'll be starting the transfer soon! The goal is to complete each area within the time limit."""
NpcComMsg2#0,"""We had adjusted this VR training quest based on the previous data gathered."""
NpcComMsg3#0,"""Good luck and don't let your guard down!"""
Area0S#0,"""Shironia Area 1"""
Area0L#0,"""Planet Harkotan - Shironia Area 1"""
Area1S#0,"""Facility Area 2"""
Area1L#0,"""Planet Vopar - Facility Area 2"""
Area2S#0,"""Corrupted Tunnels Area 3"""
Area2L#0,"""Planet Lillipa - Corrupted Tunnels Area 3"""
Area3S#0,"""Corrupted Forest Area 4"""
Area3L#0,"""Planet Naberius - Corrupted Forest Area 4"""
Area4S#0,"""????"""
Area4L#0,"""????"""
a1#0,"""Complete a certain Client Order."""
a2#0,"""Complete a certain Client Order."""
a3#0,"""Possess a Super Hard License."""
a4#0,"""Possess a Super Hard License."""
