Title#0,"""Special Training: Episode 2"""
Explanation#0,"""This is an excercise VR Training<br>quest. Aim for the final area<br>within the time limit.<br>This will put you through various<br>events encountered by ARKS, such as<br>the emergence Dark Falz [Loser].<br>Plan your party's abilities carefully.<br>――――――――――――――――――――<br>Time Limit: 15 minutes<br>Maximum damage cap/999999"""
SimpleExplanation#0,"""Defeat all the enemies that appear!"""
NpcComMsg1#0,"""Let's start the special training, everyone ready?"""
NpcComMsg2#0,"""Rush through until you defeat the final enemy or run out of time. Please note that the difficulty has changed."""
NpcComMsg3#0,"""Well then, we'll begin transfering. Please do your best!"""
Area0S#0,"""Coast - Area 1"""
Area0L#0,"""Planet Vopar - Coast Area 1"""
Area1S#0,"""Coast Area 2"""
Area1L#0,"""Planet Vopar - Coast Area 2"""
Area2S#0,"""Quarry Area 3"""
Area2L#0,"""Planet Lillipa - Quarry Area 3"""
Area3S#0,"""Mothership Interior Area 4"""
Area3L#0,"""Corrupted Mothership - Mothership Area 4"""
Area4S#0,"""????"""
Area4L#0,"""????"""
a1#0,"""Complete a certain Client Order."""
a2#0,"""Complete a certain Client Order."""
a3#0,"""Possess a Super Hard license."""
a4#0,"""Possess a Super Hard license."""
