Title#0,"""Fighter Basics"""
Explanation#0,"""■Training Menu<br>――――――――――――――――――――<br>課題１：ツインダガーのギア訓練<br>課題２：ダブルセイバーのギア訓練<br>課題３：ナックルのギア訓練<br>課題４：ブレイブスタンスの使用<br>課題５：ワイズスタンスの使用<br>課題６：実戦訓練"""
SimpleExplanation#0,"""Complete six tasks!"""
Training1#0,"""Use Photon Arts to Amass Gear"""
Training2#0,"""ギアをためてかまいたち発動"""
Training3#0,"""ギアを最大までためる"""
Training4#0,"""Defeat the Enemies with Brave Stance"""
Training5#0,"""Defeat the Enemies with Wise Stance"""
Training6#0,"""Defeat the Enemies"""
Retry_1#0,"""Task 1"""
Retry_2#0,"""Task 2"""
Retry_3#0,"""Task 3"""
Retry_4#0,"""Task 4"""
Retry_5#0,"""Task 5"""
Retry_6#0,"""Task 6"""
