Title#0,"""Special Training: Episode 1"""
Explanation#0,"""This is an exercise VR Training<br>quest. Aim for the final area<br>within the time limit.<br>This will put you through various<br>events encountered by ARKS, including<br>the revival of Dark Falz [Elder].<br>Plan your party's abilities carefully.<br>――――――――――――――――――――<br>Time Limit: 15 minutes<br>Maximum damage cap/999999"""
SimpleExplanation#0,"""Defeat all the enemies that appear!"""
NpcComMsg1#0,"""Well then, let's begin the special training right away."""
NpcComMsg2#0,"""This training will be complete when you defeat the final enemy or run out of time."""
NpcComMsg3#0,"""Aim for the shortest time, and do your best. Good luck!"""
Area0S#0,"""Forest Area 1"""
Area0L#0,"""Planet Naberius - Forest Area 1"""
Area1S#0,"""City Area 2"""
Area1L#0,"""ARKS Ship - City Area 2"""
Area2S#0,"""Sanctum Area 3"""
Area2L#0,"""Planet Amduscia - Sanctum Area 3"""
Area3S#0,"""Ruins Area 4"""
Area3L#0,"""Planet Naberius - Ruins Area 4"""
Area4S#0,"""????"""
Area4L#0,"""????"""
a1#0,"""Complete a certain Client Order."""
a2#0,"""Complete a certain Client Order."""
a3#0,"""Possess a Super Hard license."""
a4#0,"""Possess a Super Hard license."""
