Title#0,"""Annihilator Purification"""
Explanation#0,"""惑星ハルコタンに出現した『禍津』の一部を<br>スクナヒメの「唱結界」に閉じ込めることに<br>成功したとの連絡が入った。<br>閉じ込めた『禍津』の魂を浄化するまで<br>「唱結界」内にて、『禍津』を食い止めよ。<br>今回の任務において、限定範囲で活動可能と<br>なった、改良型A.I.Sが導入されている。<br>総員、力を結集させ『禍津』を殲滅せよ。<br>――――――――――――――――――――<br>成功条件/『禍津』の撃破、制限時間7分の経過"""
SimpleExplanation#0,"""Derrota Magatsu!"""
a1#0,"""Completar cierta orden del cliente."""
a2#0,"""Completar cierta orden del cliente."""
a3#0,"""Poseer la licencia para Super Dificil."""
a4#0,"""Poseer la licencia para Super Dificil."""
NpcComMsg1#0,"""pronto se activara el portal para<br>iniciar la transferencia hacia el \""Magatsu Sai\"" original."""
NpcComMsg2#0,"""Se aproxima la presencia de un enorme enemigo<br>a destruir el planeta.<br>Tienes un limite de tiempo <br>para sellarlo en la barrera de nuevo."""
NpcComMsg3#0,"""Con el rendimiento de los A.I.S<br>Podras ser capaz de derrotarlos.<br>...... Asegurate de sobrevivir."""
CaptionName_MgeKillNum#0,"""Muertes enemigas"""
