Title#0,"""Special Training: Episode 4"""
Explanation#0,"""This is an exercise VR Training<br>quest. Aim for the final area<br>within the time limit.<br>This will put you through various<br>events encountered by ARKS, including<br>the events that occured on Earth.<br>Plan your party's abilities carefully.<br>――――――――――――――――――――<br>Time Limit: 15 minutes<br>Maximum damage cap/999999"""
SimpleExplanation#0,"""Defeat all the enemies that appear!"""
NpcComMsg1#0,"""We'll start the special training! The goal of this training session is to complete each area within the time limit."""
NpcComMsg2#0,"""I personally created this VR exercise! The difficulty is much stronger compared to the others, so please watch yourselves!"""
NpcComMsg3#0,"""So persevere and aim for a perfect finish!"""
Area0S#0,"""Tokyo Area 1"""
Area0L#0,"""Planet Earth - Tokyo Area 1"""
Area1S#0,"""Las Vegas Area 2"""
Area1L#0,"""Planet Earth - Las Vegas Area 2"""
Area2S#0,"""Corrupted Caves Area 3"""
Area2L#0,"""Planet Amduscia- Corrupted Caves Area 3"""
Area3S#0,"""Earth Guide HQ Area 4"""
Area3L#0,"""Planet Earth - Earth Guide HQ Area 4"""
Area4S#0,"""ESC-A Tower Upper Level"""
Area4L#0,"""London - ESC-A Tower Upper Level"""
a1#0,"""Complete a certain Client Order."""
a2#0,"""Complete a certain Client Order."""
a3#0,"""Possess a Super Hard License."""
a4#0,"""Possess a Super Hard License."""
