Title#0,"""Defensa de bases: Desesperacion"""
Explanation#0,"""アークス各員に緊急連絡。<br>惑星リリーパの採掘基地周辺に<br>強力な多数のダーカー反応を確認した。<br>既に侵食は進み、絶望的な状況下にある。<br>だが、我々は諦めるわけにはいかない。<br>拠点防衛用に新たに開発された<br>A.I.Sを駆使し、ダーカーを迎撃せよ。<br>――――――――――――――――――――<br>全8ウェーブ<br>失敗条件/全拠点の陥落"""
SimpleExplanation#0,"""Defiende la base minera!"""
Wave1_Talk#0,"""Los Darkers han llegado!<br>estan corrompiendo los sockets de defensas tambien...<br>Por favor, trabajen en equipo y derrotenlos!"""
Wave2_Talk#0,"""ダーカーの砲台を確認！<br>A.I.Sを呼び出して<br>敵さんを撃退しちゃいましょう！"""
Wave3_Talk#0,"""Hay grandes lecturas en el cielo!<br>Algo puede venir...<br>por favor, ten cuidado!"""
Wave4_Talk#0,"""Recibo lecturas de muchas partes a la vez! ten cuidado de no ser atacado muchas veces a la vez!"""
Wave5_Talk#0,"""また新しい反応ですー！<br>ダーカーの障壁も発生するかも<br>しれません！\u3000要注意です！"""
Wave6_Talk#0,"""Que gran reaccion...<br>era de esperarse, esta es la ultima forma de ella?<br>en todo caso, buena suerte!"""
Wave7_Talk#0,"""Qu-Qu-que!? Que es esto?!.<br>Es la primera vez que vemos una reaccion tan grande en las<br>presencias enemigas! Por favor ten mucho cuidado!!"""
Wave8_Talk#0,"""Otro poderoso enemigo ha aparecido! Esta es la ultima oleada, estoy segura de ello!, por favor, has lo mejor que pueas!"""
Wave1_Talk_Cool#0,"""正結晶はエリアの四隅にたくさん<br>出るみたいです！\u3000カタパルトを<br>使うと回収しやすいですよ！"""
Wave2_Talk_Cool#0,"""侵食されたソケットを放っておくと<br>ダーカーの砲台が発生しちゃうかも。<br>注意して下さい！"""
Wave3_Talk_Cool#0,"""Hay varias funciones que se pueden utilizar para defender <br>las bases! asegurate de utilizar la recuperacion de la salud y<br>usar las barreras tambien!"""
Wave4_Talk_Cool#0,"""¡Mira! El brillo de los cristales parecen brillar mas!<br>Sigan aumentando los puntos!"""
Wave5_Talk_Cool#0,"""Recuerda que debes purificar las tomas infectadas... De lo contrario, la corrupcion va a crecer. Preparate para el proximo ataque!"""
Wave6_Talk_Cool#0,"""次の反応は大きいみたいですよー！<br>A.I.Sの準備は大丈夫ですか？<br>フォトン粒子砲もお忘れなく！"""
Wave7_Talk_Cool#0,"""Exelente trabajo! creo que eso es tod... Heh?<br>Espera un momento. aqui hay... hay una reaccion aproximandose..."""
Wave8_Talk_Cool#0,"""Despues de que el siguiente ataque comiense, recolecta todos los<br>cristales que puedas! la reaccion es muy peligrosa esta vez!"""
NpcComMsg1#0,"""Empezaremos la operacion en breve.<br>parece que la corrupcion se ha extendido, por favor<br>ten mucho cuidado!"""
NpcComMsg2#0,"""En situaciones peligrosas, recomendamos usar tu A.I.S para repeler los Darkers.<br>Buena suerte!"""
a1#0,"""Completar cierta orden del cliente."""
a2#0,"""Completar cierta orden del cliente."""
a3#0,"""Poseer la licencia para Super Dificil."""
a4#0,"""Poseer la licencia para Super Dificil."""
